variable	cat	dog	human
k__Bacteria|p__Actinobacteria|c__CFGB2801|o__OFGB2801|f__FGB2801|g__GGB8965|s__GGB8965_SGB13825|t__13825	106	NA	NA
k__Bacteria|p__Bacteroidetes|c__CFGB76185|o__OFGB76185|f__FGB76185|g__GGB1550|s__GGB1550_SGB2135|t__2135	NA	NA	4
k__Bacteria|p__Actinobacteria|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB9357|s__GGB9357_SGB14332|t__14332	18	NA	NA
k__Bacteria|p__Firmicutes|c__CFGB1362|o__OFGB1362|f__FGB1362|g__GGB48159|s__GGB48159_SGB105301|t__105301	31	82	NA
k__Bacteria|p__Firmicutes|c__CFGB76782|o__OFGB76782|f__FGB76782|g__GGB80009|s__GGB80009_SGB53574|t__53574	26	NA	NA
k__Bacteria|p__Firmicutes|c__CFGB43318|o__OFGB43318|f__FGB43318|g__GGB48540|s__GGB48540_SGB66598|t__66598	40	802	NA
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4592|s__GGB4592_SGB106571|t__106571	132	12	NA
k__Bacteria|p__Firmicutes|c__CFGB29473|o__OFGB29473|f__FGB29473|g__GGB47957|s__GGB47957_SGB65947|t__65947	NA	653	NA
k__Bacteria|p__Firmicutes|c__CFGB76110|o__OFGB76110|f__FGB76110|g__GGB35456|s__GGB35456_SGB47582|t__47582	102	30	NA
k__Bacteria|p__Firmicutes|c__CFGB75985|o__OFGB75985|f__FGB75985|g__GGB52165|s__GGB52165_SGB72910|t__72910	29	4	NA
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721|f__FGB75721|g__GGB48667|s__GGB48667_SGB72905|t__72905	56	850	NA
k__Bacteria|p__Firmicutes|c__CFGB75783|o__OFGB75783|f__FGB75783|g__GGB79908|s__GGB79908_SGB47660|t__47660	38	1286	NA
k__Bacteria|p__Proteobacteria|c__CFGB76483|o__OFGB76483|f__FGB76483|g__GGB6572|s__GGB6572_SGB9285|t__9285	4	492	NA
k__Bacteria|p__Firmicutes|c__CFGB29473|o__OFGB29473|f__FGB29473|g__GGB47958|s__GGB47958_SGB65948|t__65948	NA	480	NA
k__Bacteria|p__Fusobacteria|c__CFGB76370|o__OFGB76370|f__FGB76370|g__GGB4381|s__GGB4381_SGB47248|t__47248	7	317	NA
k__Bacteria|p__Firmicutes|c__CFGB76110|o__OFGB76110|f__FGB76110|g__GGB35456|s__GGB35456_SGB66051|t__66051	142	518	3
k__Bacteria|p__Firmicutes|c__CFGB76782|o__OFGB76782|f__FGB76782|g__GGB45596|s__GGB45596_SGB63306|t__63306	145	6	4
k__Bacteria|p__Firmicutes|c__CFGB76106|o__OFGB76106|f__FGB76106|g__GGB33657|s__GGB33657_SGB66068|t__66068	16	887	NA
k__Bacteria|p__Bacteroidetes|c__CFGB9382|o__OFGB9382|f__FGB9382|g__GGB27878|s__GGB27878_SGB40312|t__40312	NA	9	NA
k__Bacteria|p__Firmicutes|c__CFGB76046|o__OFGB76046|f__FGB76046|g__GGB55957|s__GGB55957_SGB77276|t__77276	NA	55	12
k__Bacteria|p__Firmicutes|c__CFGB76331|o__OFGB76331|f__FGB76331|g__GGB48567|s__GGB48567_SGB66627|t__66627	18	358	NA
k__Bacteria|p__Firmicutes|c__CFGB76046|o__OFGB76046|f__FGB76046|g__GGB51510|s__GGB51510_SGB71883|t__71883	8	15	10
k__Bacteria|p__Firmicutes|c__CFGB76586|o__OFGB76586|f__FGB76586|g__GGB42467|s__GGB42467_SGB59642|t__59642	4	3	NA
k__Bacteria|p__Firmicutes|c__CFGB75922|o__OFGB75922|f__FGB75922|g__GGB34900|s__GGB34900_SGB14891|t__14891	101	NA	11
k__Bacteria|p__Firmicutes|c__CFGB24731|o__OFGB24731|f__FGB24731|g__GGB51725|s__GGB51725_SGB72140|t__72140	NA	708	NA
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721|f__FGB75721|g__GGB80024|s__GGB80024_SGB63246|t__63246	14	557	NA
k__Bacteria|p__Proteobacteria|c__CFGB76528|o__OFGB76528|f__FGB76528|g__GGB9074|s__GGB9074_SGB9349|t__9349	6	NA	NA
k__Bacteria|p__Firmicutes|c__CFGB72809|o__OFGB72809|f__FGB72809|g__GGB29473|s__GGB29473_SGB42252|t__42252	NA	100	NA
k__Bacteria|p__Firmicutes|c__CFGB76106|o__OFGB76106|f__FGB76106|g__GGB33657|s__GGB33657_SGB47663|t__47663	93	8	NA
k__Bacteria|p__Proteobacteria|c__CFGB76483|o__OFGB76483|f__FGB76483|g__GGB6572|s__GGB6572_SGB9284|t__9284	74	729	NA
k__Bacteria|p__Proteobacteria|c__CFGB76759|o__OFGB76759|f__FGB76759|g__GGB6547|s__GGB6547_SGB9247|t__9247	NA	NA	9
k__Bacteria|p__Tenericutes|c__CFGB48937|o__OFGB48937|f__FGB48937|g__GGB48652|s__GGB48652_SGB66722|t__66722	NA	189	NA
k__Bacteria|p__Bacteroidetes|c__CFGB24868|o__OFGB24868|f__FGB24868|g__GGB44117|s__GGB44117_SGB1808|t__1808	109	966	NA
k__Bacteria|p__Bacteroidetes|c__CFGB59744|o__OFGB59744|f__FGB59744|g__GGB59744|s__GGB59744_SGB2275|t__2275	NA	NA	13
k__Bacteria|p__Firmicutes|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB6020|s__GGB6020_SGB14985|t__14985_group	196	1399	NA
k__Bacteria|p__Actinobacteria|c__CFGB9287|o__OFGB9287|f__FGB9287|g__GGB37167|s__GGB37167_SGB62963|t__62963	194	28	NA
k__Bacteria|p__Actinobacteria|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB38145|s__GGB38145_SGB53822|t__53822	75	NA	NA
k__Bacteria|p__Firmicutes|c__CFGB60970|o__OFGB60970|f__FGB60970|g__GGB78940|s__GGB78940_SGB105432|t__105432	NA	42	NA
k__Bacteria|p__Firmicutes|c__CFGB72939|o__OFGB72939|f__FGB72939|g__GGB74511|s__GGB74511_SGB105989|t__105989	13	535	NA
k__Bacteria|p__Firmicutes|c__CFGB43013|o__OFGB43013|f__FGB43013|g__GGB78851|s__GGB78851_SGB106203|t__106203	3	374	NA
k__Bacteria|p__Firmicutes|c__CFGB74652|o__OFGB74652|f__FGB74652|g__GGB77090|s__GGB77090_SGB105325|t__105325	NA	513	NA
k__Bacteria|p__Actinobacteria|c__CFGB76796|o__OFGB76796|f__FGB76796|g__GGB9369|s__GGB9369_SGB14350|t__14350	153	6	NA
k__Bacteria|p__Firmicutes|c__CFGB76329|o__OFGB76329|f__FGB76329|g__GGB79420|s__GGB79420_SGB105987|t__105987	21	575	NA
k__Bacteria|p__Firmicutes|c__CFGB49531|o__OFGB49531|f__FGB49531|g__GGB78670|s__GGB78670_SGB106318|t__106318	86	8	NA
k__Bacteria|p__Proteobacteria|c__CFGB76484|o__OFGB76484|f__FGB76484|g__GGB6606|s__GGB6606_SGB57592|t__57592	NA	3	NA
k__Bacteria|p__Firmicutes|c__CFGB75492|o__OFGB75492|f__FGB75492|g__GGB78698|s__GGB78698_SGB106383|t__106383	NA	68	NA
k__Bacteria|p__Firmicutes|c__CFGB75783|o__OFGB75783|f__FGB75783|g__GGB79419|s__GGB79419_SGB105985|t__105985	14	157	NA
k__Bacteria|p__Firmicutes|c__CFGB29473|o__OFGB29473|f__FGB29473|g__GGB78823|s__GGB78823_SGB105320|t__105320	NA	25	NA
k__Bacteria|p__Firmicutes|c__CFGB75497|o__OFGB75497|f__FGB75497|g__GGB78706|s__GGB78706_SGB106379|t__106379	10	203	NA
k__Bacteria|p__Firmicutes|c__CFGB13273|o__OFGB13273|f__FGB13273|g__GGB78671|s__GGB78671_SGB106319|t__106319	100	5	NA
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111|g__GGB79628|s__GGB79628_SGB35895|t__35895	NA	15	NA
k__Bacteria|p__Bacteroidetes|c__CFGB76132|o__OFGB76132|f__FGB76132|g__GGB47742|s__GGB47742_SGB65714|t__65714	NA	356	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_megaterium|t__7678	NA	6	NA
k__Bacteria|p__Bacteroidetes|c__CFGB76349|o__OFGB76349|f__FGB76349|g__GGB27906|s__GGB27906_SGB40342|t__40342	NA	3	NA
k__Bacteria|p__Bacteroidetes|c__CFGB76082|o__OFGB76082|f__FGB76082|g__GGB47714|s__GGB47714_SGB65685|t__65685	29	182	NA
k__Bacteria|p__Bacteroidetes|c__CFGB76132|o__OFGB76132|f__FGB76132|g__GGB47741|s__GGB47741_SGB65713|t__65713	48	589	NA
k__Bacteria|p__Proteobacteria|c__CFGB76748|o__OFGB76748|f__FGB76748|g__GGB12467|s__GGB12467_SGB28474|t__28474	3	68	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB4657|s__GGB4657_SGB6444|t__6444	NA	NA	4
k__Bacteria|p__Proteobacteria|c__CFGB39914|o__OFGB39914|f__FGB39914|g__GGB67909|s__GGB67909_SGB66356|t__66356	NA	46	NA
k__Bacteria|p__Fusobacteria|c__CFGB76375|o__OFGB76375|f__FGB76375|g__GGB4386|s__GGB4386_SGB6036|t__6036_group	52	1478	NA
k__Bacteria|p__Actinobacteria|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB79996|s__GGB79996_SGB14375|t__14375	263	24	12
k__Bacteria|p__Actinobacteria|c__CFGB76760|o__OFGB76760|f__FGB76760|g__GGB22650|s__GGB22650_SGB63087|t__63087	NA	549	NA
k__Bacteria|p__Proteobacteria|c__CFGB24884|o__OFGB24884|f__FGB24884|g__GGB24884|s__GGB24884_SGB66516|t__66516	9	101	NA
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9411|s__GGB9411_SGB14764|t__14764_group	4	NA	NA
k__Bacteria|p__Bacteroidetes|c__CFGB76132|o__OFGB76132|f__FGB76132|g__GGB77003|s__GGB77003_SGB104903|t__104903	NA	61	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_argi|t__4797	210	617	NA
k__Bacteria|p__Proteobacteria|c__CFGB76484|o__OFGB76484|f__FGB76484|g__GGB77482|s__GGB77482_SGB107008|t__107008	6	50	NA
k__Bacteria|p__Proteobacteria|c__CFGB76404|o__OFGB76404|f__FGB76404|g__GGB77489|s__GGB77489_SGB107006|t__107006	NA	8	NA
k__Bacteria|p__Proteobacteria|c__CFGB74911|o__OFGB74911|f__FGB74911|g__GGB77497|s__GGB77497_SGB107062|t__107062	43	208	NA
k__Bacteria|p__Actinobacteria|c__CFGB76760|o__OFGB76760|f__FGB76760|g__GGB22650|s__GGB22650_SGB105119|t__105119	NA	557	NA
k__Bacteria|p__Bacteria_unclassified|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB9364|s__GGB9364_SGB14339|t__14339	NA	12	3
k__Bacteria|p__Bacteria_unclassified|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9412|s__GGB9412_SGB14768|t__14768	NA	NA	7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum|t__4811	32	NA	256
k__Bacteria|p__Fusobacteria|c__CFGB76370|o__OFGB76370|f__FGB76370|g__GGB79751|s__GGB79751_SGB6028|t__6028_group	137	1120	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum|t__4809	NA	NA	106
k__Bacteria|p__Proteobacteria|c__CFGB76748|o__OFGB76748|f__FGB76748|g__GGB12469|s__GGB12469_SGB104937|t__104937	16	117	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB9582|s__GGB9582_SGB4865|t__4865	204	12	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis|t__4820	NA	NA	284
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB3504|s__GGB3504_SGB4680|t__4680	183	21	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB3724|s__GGB3724_SGB5054|t__5054	NA	NA	52
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3510|s__GGB3510_SGB4687|t__4687	17	NA	36
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4578|s__GGB4578_SGB6328|t__6328	NA	NA	60
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB58233|s__GGB58233_SGB79883|t__79883	40	NA	26
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3602|s__GGB3602_SGB4574|t__4574	295	661	29
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4599|s__GGB4599_SGB6362|t__6362	7	NA	42
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3859|s__GGB3859_SGB5234|t__5234	4	14	21
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB1387|s__GGB1387_SGB1894|t__1894	85	6	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3862|s__GGB3862_SGB5239|t__5239	20	NA	36
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3453|s__GGB3453_SGB4607|t__4607	NA	NA	4
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF24_7LB|t__4571	107	NA	93
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4602|s__GGB4602_SGB6365|t__6365	NA	NA	24
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3637|s__GGB3637_SGB4930|t__4930	6	NA	43
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3859|s__GGB3859_SGB5235|t__5235	4	10	4
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3424|s__GGB3424_SGB4551|t__4551	NA	14	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3463|s__GGB3463_SGB4621|t__4621	NA	NA	8
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4566|s__GGB4566_SGB6305|t__6305	119	3	23
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_phocaeensis|t__4572	220	696	13
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4585|s__GGB4585_SGB4995|t__4995	288	100	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__4581	84	5	232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3534|s__GGB3534_SGB4722|t__4722	NA	NA	17
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3576|s__GGB3576_SGB4784|t__4784	25	273	7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB4793|t__4793	356	39	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746|s__GGB3746_SGB5089|t__5089	4	4	156
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__4582	NA	NA	210
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB9513|s__GGB9513_SGB14911|t__14911	262	53	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3341|s__GGB3341_SGB4420|t__4420	NA	NA	40
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii|t__4794	29	1904	9
