feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	reference	fdr.pval
UniRef90_E7SA67..ABC.transporter..ATP.binding.protein	species2	HMP1-II	0.228350216	0.025159312	2657	16	2.14E-19	6.16E-18	dog	7.19E-18
UniRef90_E9FPR1..ABC.transporter..ATP.binding.protein	species2	HMP1-II	0.220151261	0.02467477	2657	17	8.33E-19	2.30E-17	dog	2.71E-17
UniRef90_P06107..Lincosamide.resistance.protein	species2	cat	-1.803242366	0.208155025	2657	276	8.68E-18	2.29E-16	dog	2.72E-16
UniRef90_P06571..rRNA.adenine.N.6.methyltransferase	species2	cat	-2.192020288	0.252148302	2657	427	2.80E-17	7.07E-16	dog	8.48E-16
UniRef90_P0AC11..Dihydropteroate.synthase.type.2	species2	cat	-2.416786339	0.286029746	2657	439	5.76E-17	1.40E-15	dog	1.69E-15
UniRef90_A0A3E4UGG9..Tetracycline.efflux.ABC.transporter.Tet.46..subunit.A	species2	HMP1-II	0.19671458	0.024500707	2657	12	1.46E-15	3.41E-14	dog	4.15E-14
UniRef90_A0A127SUT1..Beta.lactamase	species2	cat	1.301618037	0.161574464	2657	200	2.71E-15	6.09E-14	dog	7.47E-14
UniRef90_Q00014..rRNA.adenine.N.6.methyltransferase	species2	cat	-1.680246544	0.214028011	2657	223	6.88E-15	1.49E-13	dog	1.84E-13
UniRef90_E7SA67..ABC.transporter..ATP.binding.protein	species2	HMP1-II	0.234296056	0.03054266	2657	16	2.38E-14	5.54E-13	cat	6.17E-13
UniRef90_E9FPR1..ABC.transporter..ATP.binding.protein	species2	HMP1-II	0.228095396	0.029954441	2657	17	3.65E-14	8.19E-13	cat	9.21E-13
UniRef90_Q8GF07..Response.regulator	species2	HMP1-II	0.149569949	0.020817982	2657	15	8.72E-13	1.82E-11	dog	2.14E-11
UniRef90_Q9KHL7..Amino.acid.racemase	species2	HMP1-II	0.066237454	0.009562616	2657	6	5.38E-12	1.09E-10	dog	1.29E-10
UniRef90_P0A4K4..Multi.drug.resistance.efflux.pump.PmrA	species2	HMP1-II	0.101222171	0.014628327	2657	6	5.66E-12	1.11E-10	dog	1.32E-10
UniRef90_A0A3E4UGG9..Tetracycline.efflux.ABC.transporter.Tet.46..subunit.A	species2	HMP1-II	0.202085563	0.029743134	2657	12	1.34E-11	2.90E-10	cat	3.04E-10
UniRef90_A0A1L5KW26..Dihydrofolate.reductase	species2	cat	-1.841252109	0.272754856	2657	787	2.02E-11	3.83E-10	dog	4.48E-10
UniRef90_Q57509..Beta.lactamase	species2	HMP1-II	1.962709859	0.142131505	2657	136	1.08E-10	2.19E-09	cat	2.35E-09
UniRef90_Q57509..Beta.lactamase	species2	HMP1-II	2.00991466	0.127074846	2657	136	1.56E-09	2.86E-08	dog	3.29E-08
UniRef90_P0A4K7..Tetracycline.resistance.protein	species2	cat	-1.015999291	0.168694414	2657	215	1.96E-09	3.47E-08	dog	4.04E-08
UniRef90_R7MBA0..Small.GTP.binding.protein.domain	species2	cat	-1.169060953	0.194219206	2657	360	2.01E-09	3.47E-08	dog	4.05E-08
UniRef90_Q7ATJ6..3.apos..kinase	species2	cat	-1.620154317	0.269038682	2657	458	2.08E-09	3.50E-08	dog	4.10E-08
UniRef90_P10952..Tetracycline.resistance.protein.TetO	species2	cat	-1.396414156	0.239117645	2657	2594	6.37E-09	1.04E-07	dog	1.23E-07
UniRef90_L1PB72..Beta.lactamase	species2	cat	-1.945175141	0.335361742	2657	914	8.18E-09	1.30E-07	dog	1.55E-07
UniRef90_P0A4K4..Multi.drug.resistance.efflux.pump.PmrA	species2	HMP1-II	0.101222171	0.017758357	2657	6	1.33E-08	2.12E-07	cat	2.37E-07
UniRef90_P30899..Beta.lactamase	species2	cat	-2.297858488	0.401973975	2657	931	1.33E-08	2.06E-07	dog	2.37E-07
UniRef90_Q9KHL7..Amino.acid.racemase	species2	HMP1-II	0.066237454	0.011608733	2657	6	1.29E-08	2.12E-07	cat	2.37E-07
UniRef90_Q8GJ54..Nitroimidazole.resistance.protein..Fragment.	species2	HMP1-II	0.070981814	0.012545995	2657	4	1.70E-08	2.57E-07	dog	2.97E-07
UniRef90_P25910..Metallo.beta.lactamase.type.2	species2	HMP1-II	0.076781234	0.01386409	2657	9	3.36E-08	4.96E-07	dog	5.76E-07
UniRef90_Q8GF07..Response.regulator	species2	HMP1-II	0.13605196	0.025272414	2657	15	7.95E-08	1.24E-06	cat	1.34E-06
UniRef90_Q9S3T0..Sensor.protein.kinase	species2	HMP1-II	0.03538618	0.006640951	2657	6	1.07E-07	1.55E-06	dog	1.77E-06
UniRef90_Q6XL56..Class.D.beta.lactamase	species2	cat	-1.425279417	0.274196739	2657	408	2.18E-07	3.07E-06	dog	3.53E-06
UniRef90_A0A0F2CTG7..ABC.transporter.ATP.binding.protein.permease	species2	HMP1-II	0.080174743	0.015745433	2657	5	3.79E-07	5.22E-06	dog	6.05E-06
UniRef90_P30898..Beta.lactamase	species2	HMP1-II	6.51188253	0.785496788	2657	435	6.64E-07	8.94E-06	dog	1.04E-05
UniRef90_P30898..Beta.lactamase	species2	HMP1-II	6.365902904	0.797798915	2657	435	7.49E-07	1.11E-05	cat	1.15E-05
UniRef90_A8SPZ5..StrA	species2	cat	-0.697850683	0.13931568	2657	175	9.67E-07	1.27E-05	dog	1.47E-05
UniRef90_Q4LAM4..NimE.nitroimidazole.reductase..Fragment.	species2	HMP1-II	0.046318839	0.009510187	2657	3	1.18E-06	1.52E-05	dog	1.76E-05
UniRef90_P25910..Metallo.beta.lactamase.type.2	species2	HMP1-II	0.081228513	0.016830595	2657	9	1.47E-06	2.07E-05	cat	2.16E-05
UniRef90_A0A127SVB4..Streptomycin.adenylyltransferase	species2	HMP1-II	7.105967881	0.966644768	2657	248	2.27E-06	3.12E-05	cat	3.27E-05
UniRef90_A0A127SVB4..Streptomycin.adenylyltransferase	species2	HMP1-II	6.979782068	0.954687881	2657	248	3.09E-06	3.91E-05	dog	4.39E-05
UniRef90_Q8GJ54..Nitroimidazole.resistance.protein..Fragment.	species2	HMP1-II	0.070981814	0.015230467	2657	4	3.31E-06	4.46E-05	cat	4.63E-05
UniRef90_Q9S3T0..Sensor.protein.kinase	species2	HMP1-II	0.036665698	0.008061918	2657	6	5.66E-06	7.45E-05	cat	7.79E-05
UniRef90_I3RVP3..Tetracycline.resistance.protein.O.32.O	species2	HMP1-II	2.471149854	0.313972785	2657	136	8.77E-06	0.000108467	dog	0.00011899
UniRef90_I3RVP3..Tetracycline.resistance.protein.O.32.O	species2	HMP1-II	2.38291863	0.322006522	2657	136	9.96E-06	0.000128473	cat	0.000133196
UniRef90_A0A0F2CTG7..ABC.transporter.ATP.binding.protein.permease	species2	HMP1-II	0.081877891	0.019114489	2657	5	1.90E-05	0.000240476	cat	0.000250931
UniRef90_A0A1B2JL14..ABC.half.transporter	species2	HMP1-II	0.039479483	0.009319501	2657	3	2.35E-05	0.000284888	dog	0.000300995
UniRef90_P10337..rRNA.adenine.N.6.methyltransferase	species2	HMP1-II	6.738438855	1.171596152	2657	321	2.35E-05	0.000290757	cat	0.000300995
UniRef90_P10337..rRNA.adenine.N.6.methyltransferase	species2	HMP1-II	6.454967509	1.161733824	2657	321	3.88E-05	0.000460652	dog	0.000489443
UniRef90_Q4LAM4..NimE.nitroimidazole.reductase..Fragment.	species2	HMP1-II	0.046318839	0.011545086	2657	3	6.19E-05	0.000749887	cat	0.000770432
UniRef90_P0AE04..2.apos..apos..aminoglycoside.nucleotidyltransferase	species2	cat	-0.419763206	0.10529086	2657	115	7.31E-05	0.000851778	dog	0.00089782
UniRef90_Q1MRZ1..Ribosomal.protection.tetracycline.resistance.protein	species2	HMP1-II	0.941783196	0.12884879	2657	79	0.000251292	0.002921063	cat	0.003045665
UniRef90_Q9WVY4..Lincosamide.nucleotidyltransferase	species2	cat	-0.535341117	0.146196692	2657	109	0.000255472	0.002921063	dog	0.003055585
UniRef90_Q01911..Tetracycline.resistance.protein.from.transposon.Tn4351.Tn4400	species2	HMP1-II	6.555948896	1.463252835	2657	389	0.000303658	0.003407721	cat	0.003584745
UniRef90_Q1MRZ1..Ribosomal.protection.tetracycline.resistance.protein	species2	HMP1-II	0.950904158	0.122409659	2657	79	0.000355347	0.003987779	dog	0.004141156
UniRef90_A0A2J6A2K0..NimIJ.family.nitroimidazole.resistance.protein	species2	cat	-0.339423222	0.091529812	2657	62	0.000440435	0.004852798	dog	0.005067796
UniRef90_A0A1B2JL14..ABC.half.transporter	species2	HMP1-II	0.039479483	0.011313599	2657	3	0.000491697	0.00528589	cat	0.00557955
UniRef90_F4LXH4..ABC.transporter.related.protein	species2	cat	-0.390494817	0.111991882	2657	110	0.000497188	0.005380281	dog	0.00557955
UniRef90_P06571..rRNA.adenine.N.6.methyltransferase	species2	HMP1-II	5.244590485	1.237580151	2657	427	0.000641582	0.006703424	cat	0.007112169
UniRef90_D4JSJ5..Small.GTP.binding.protein.domain	species2	HMP1-II	2.037271233	0.404429343	2657	157	0.000725014	0.007708046	dog	0.007940216
UniRef90_Q01911..Tetracycline.resistance.protein.from.transposon.Tn4351.Tn4400	species2	HMP1-II	5.902285021	1.452846991	2657	389	0.000794539	0.00824263	dog	0.008582033
UniRef90_R7M6A2..NO_NAME	species2	cat	-0.432214867	0.128790884	2657	182	0.0008025	0.00824263	dog	0.008582033
UniRef90_D4JSJ5..Small.GTP.binding.protein.domain	species2	HMP1-II	1.975918178	0.41270904	2657	157	0.000852113	0.008606346	cat	0.009006641
UniRef90_A0A064BZV5..23S.rRNA..Guanine.745..N.1...methyltransferase	species2	HMP1-II	0.036787895	0.012256168	2657	4	0.002710835	0.027379431	dog	0.028323549
UniRef90_H9CDJ3..Tetracycline.resistance.protein.40	species2	cat	-0.960219054	0.325489979	2657	2343	0.003230749	0.032095636	dog	0.033372167
UniRef90_P16898..rRNA.adenine.N.6.methyltransferase	species2	cat	-0.410817953	0.146446172	2657	131	0.005253142	0.051345229	dog	0.053652879
UniRef90_P37636..Multidrug.resistance.protein.MdtE	species2	cat	-0.995548897	0.360918678	2657	790	0.005915421	0.056900712	dog	0.059745747
UniRef90_Q5XBB2..Macrolide.efflux.protein.A	species2	cat	-0.825463964	0.301629445	2657	533	0.006834657	0.064715661	dog	0.068271467
UniRef90_A0A064BZV5..23S.rRNA..Guanine.745..N.1...methyltransferase	species2	HMP1-II	0.039561644	0.014878626	2657	4	0.007885354	0.07351576	cat	0.077910723
UniRef90_B8QUG9..Tet.32.	species2	cat	-0.854023611	0.321539897	2657	2017	0.008010449	0.074682033	dog	0.07829568
UniRef90_P30899..Beta.lactamase	species2	HMP1-II	7.707940633	2.62818675	2657	931	0.008929841	0.080768411	cat	0.086353461
UniRef90_P24180..Multidrug.export.protein.AcrE	species2	cat	-0.890161569	0.342288094	2657	799	0.009440901	0.086684632	dog	0.090334511
UniRef90_L1PB72..Beta.lactamase	species2	HMP1-II	6.260807109	2.179251581	2657	914	0.010112391	0.088813173	cat	0.095751702
UniRef90_Q01911..Tetracycline.resistance.protein.from.transposon.Tn4351.Tn4400	species2	cat	-0.653663875	0.255080531	2657	389	0.01052755	0.095219332	dog	0.098655081
UniRef90_P30847..Signal.transduction.histidine.protein.kinase.BaeS	species2	cat	-0.802247232	0.318951816	2657	596	0.012067979	0.105988338	dog	0.110805989
UniRef90_P32716..Multidrug.resistance.protein.MdtN	species2	cat	-0.78713151	0.312747787	2657	708	0.012008986	0.105988338	dog	0.110805989
UniRef90_A7ZKF6..Multidrug.resistance.protein.MdtG	species2	cat	-0.869547599	0.349849039	2657	712	0.013146685	0.113812733	dog	0.119503369
UniRef90_A0A2K9JGM9..LnuC	species2	HMP1-II	-5.595262089	2.045514981	2657	2518	0.017111494	0.140129264	cat	0.154003448
UniRef90_A0A2K9JGM9..LnuC	species2	HMP1-II	-5.497777814	2.036511739	2657	2518	0.018534673	0.158197353	dog	0.165176648
UniRef90_P00811..Beta.lactamase	species2	cat	-0.788905659	0.335448528	2657	568	0.018924808	0.159283801	dog	0.167016025
UniRef90_P32715..Multidrug.resistance.protein.MdtO	species2	cat	-0.775762721	0.336469992	2657	690	0.021377304	0.177460909	dog	0.186845861
UniRef90_P05058..Kanamycin.nucleotidyltransferase	species2	cat	0.067717175	0.029027929	2657	24	0.023530863	0.192698692	dog	0.203710045
UniRef90_P06571..rRNA.adenine.N.6.methyltransferase	species2	HMP1-II	3.052570243	1.22557592	2657	427	0.024694328	0.199389461	dog	0.211765511
UniRef90_P37639..HTH.type.transcriptional.regulator.GadX	species2	cat	-0.677091454	0.301058254	2657	488	0.025005939	0.199389461	dog	0.212433631
UniRef90_A0A0K1TBR6..Ribosomal.RNA.large.subunit.methyltransferase.Cfr	species2	cat	-0.145512782	0.065212389	2657	50	0.0274954	0.216392368	dog	0.231419616
UniRef90_O07480..Erythromycin.resistance.methylase	species2	HMP1-II	0.067713371	0.029566868	2657	12	0.02799639	0.212072655	cat	0.233474483
UniRef90_P0ACT3..Probable.acrEF.envCD.operon.repressor	species2	cat	-0.73305282	0.339782271	2657	595	0.031207349	0.23938802	dog	0.255562886
UniRef90_P23895..Multidrug.transporter.EmrE	species2	cat	-0.448115086	0.206048154	2657	205	0.030983217	0.23938802	dog	0.255562886
UniRef90_A0A174XA02..Beta.lactamase	species2	cat	-1.138788895	0.537139486	2657	1449	0.034181453	0.25892451	dog	0.277419118
UniRef90_P0AE07..Multidrug.efflux.pump.subunit.AcrA	species2	cat	-0.679980443	0.328330342	2657	675	0.038621749	0.288947902	dog	0.310682921
UniRef90_Q8G3I2..Isoleucine..tRNA.ligase	species2	HMP1-II	-6.188555271	2.85602936	2657	303	0.043544673	0.310447904	cat	0.347211471
UniRef90_Q08425..Tetracycline.resistance.protein.TetQ	species2	HMP1-II	9.770756771	4.555851704	2657	1810	0.04605252	0.324509616	cat	0.364015134
UniRef90_M4R2Y6..Hydrolase..alpha.beta.domain.protein	species2	cat	-0.331287384	0.167117358	2657	176	0.047971084	0.354518014	dog	0.375911342
UniRef90_A0A1L5KFA7..Phosphotransferase.enzyme.family	species2	HMP1-II	0.193008002	0.075454324	2657	28	0.048792265	0.356242318	dog	0.379078364
UniRef90_P30899..Beta.lactamase	species2	HMP1-II	5.410082147	2.613747559	2657	931	0.053515714	0.384086967	dog	0.41152175
UniRef90_Q84FH1..Tetracycline.resistance.protein	species2	cat	0.452596048	0.234429069	2657	254	0.053873584	0.384086967	dog	0.41152175
UniRef90_A0A1L5KFA7..Phosphotransferase.enzyme.family	species2	HMP1-II	0.188884878	0.080993697	2657	28	0.056137999	0.369778557	cat	0.411527748
UniRef90_A0A1L5KW26..Dihydrofolate.reductase	species2	HMP1-II	4.020375246	1.966758523	2657	787	0.055594143	0.369778557	cat	0.411527748
UniRef90_P27303..Multidrug.export.protein.EmrA	species2	cat	-0.689435533	0.358857463	2657	708	0.054953989	0.384317386	dog	0.411527748
UniRef90_P37637..Multidrug.resistance.protein.MdtF	species2	cat	-0.64615642	0.336757546	2657	712	0.055338798	0.384317386	dog	0.411527748
UniRef90_Q93ET8..Aminoglycoside.acetyltransferase	species2	HMP1-II	-5.242414756	2.547560757	2657	1814	0.055808465	0.384317386	dog	0.411527748
UniRef90_Q83KI5..Putative.multidrug.resistance.protein.MdtA	species2	cat	-0.331409041	0.174275184	2657	246	0.057741551	0.392645604	dog	0.419896556
UniRef90_O07480..Erythromycin.resistance.methylase	species2	HMP1-II	0.049671855	0.024522659	2657	12	0.058313704	0.392645604	dog	0.420691719
UniRef90_L1PB72..Beta.lactamase	species2	HMP1-II	4.315631968	2.167133018	2657	914	0.062134832	0.41377701	dog	0.444728833
UniRef90_A0A1G1SBI2..Dihydrofolate.reductase	species2	cat	-0.096772704	0.05197814	2657	32	0.062819275	0.41378783	dog	0.446115005
UniRef90_P05058..Kanamycin.nucleotidyltransferase	species2	HMP1-II	-0.094898704	0.046575691	2657	24	0.063645889	0.405993774	cat	0.448481495
UniRef90_UPI0009A2989B..aminoglycoside.6.adenylyltransferase	species2	cat	-0.078146635	0.041534598	2657	29	0.06485349	0.422593712	dog	0.45347556
UniRef90_A0A218L4M5..Streptomycin.aminoglycoside.6.adenyltransferase	species2	cat	-0.425140833	0.231988929	2657	351	0.067009373	0.431996595	dog	0.464973434
UniRef90_P22782..Chloramphenicol.acetyltransferase	species2	HMP1-II	1.328236733	0.684156334	2657	95	0.068396135	0.422939363	cat	0.471000654
UniRef90_Q46306..Tetracycline.resistance.protein.TetP	species2	HMP1-II	-6.590195374	3.412897433	2657	1417	0.0696988	0.444604975	dog	0.476362474
UniRef90_P22782..Chloramphenicol.acetyltransferase	species2	HMP1-II	1.283833169	0.679206794	2657	95	0.075753019	0.478190934	dog	0.513876824
UniRef90_P10738..rRNA.adenine.N.6.methyltransferase	species2	HMP1-II	5.458538879	2.889514574	2657	1137	0.077121103	0.47207463	cat	0.515824623
UniRef90_Q93ET9..Aminoglycoside.phosphotransferase	species2	HMP1-II	-5.615399468	2.981398694	2657	1635	0.077175081	0.482145352	dog	0.515824623
UniRef90_A0A1S7D640..Beta.lactamase..Fragment.	species2	cat	-0.160011005	0.090765696	2657	110	0.080815025	0.499733727	dog	0.536210641
UniRef90_P30845..Phosphoethanolamine.transferase.EptA	species2	cat	-0.657863524	0.377758176	2657	802	0.081881954	0.501216807	dog	0.539352868
UniRef90_C9WIW3..Lincosamide.nucleotidyltransferase	species2	HMP1-II	-5.071272482	2.750271275	2657	1058	0.083190392	0.504133777	dog	0.544029256
UniRef90_P0ABQ7..Dihydrofolate.reductase.type.8	species2	cat	-0.031846395	0.018622379	2657	10	0.091168836	0.547013013	dog	0.591946225
UniRef90_P02930..Outer.membrane.protein.TolC	species2	cat	-0.647441038	0.383944369	2657	808	0.092101219	0.547189597	dog	0.593758925
UniRef90_P0ACH6..Multiple.antibiotic.resistance.protein.MarA	species2	cat	-0.544186519	0.325884088	2657	472	0.0952888	0.560631193	dog	0.60998253
UniRef90_P24177..Probable.aminoglycoside.efflux.pump	species2	cat	-0.578032299	0.348774133	2657	791	0.09770285	0.569306992	dog	0.621062173
UniRef90_A0A2X1JA38..DNA.binding.protein	species2	cat	-0.353756061	0.216521665	2657	396	0.102497623	0.573785108	dog	0.63578215
UniRef90_D1LU77..Beta.lactamase..Fragment.	species2	cat	-0.021440176	0.01296144	2657	10	0.103177046	0.573785108	dog	0.63578215
UniRef90_Q46305..Tetracycline.efflux.protein	species2	HMP1-II	-3.561100614	2.034399782	2657	515	0.10075849	0.573785108	dog	0.63578215
UniRef90_Q5XBB2..Macrolide.efflux.protein.A	species2	HMP1-II	-1.596822202	0.913517328	2657	533	0.102106473	0.573785108	dog	0.63578215
UniRef90_Q9L5C7..Beta.lactamase	species2	cat	-0.096951246	0.059416918	2657	23	0.103515686	0.573785108	dog	0.63578215
UniRef90_B0B4B3..Mosaic.tetracycline.resistance.protein	species2	cat	-0.281669502	0.172097998	2657	126	0.105099253	0.573785108	dog	0.63690147
UniRef90_P0AEZ0..Multidrug.transporter.MdfA	species2	cat	-0.5886615	0.362398991	2657	667	0.104581336	0.573785108	dog	0.63690147
UniRef90_P31224..Multidrug.efflux.pump.subunit.AcrB	species2	cat	-0.544432485	0.340894421	2657	778	0.110507852	0.592635029	dog	0.660866035
UniRef90_Q8X7J4..Multidrug.resistance.protein.MdtB	species2	cat	-0.449924955	0.281700291	2657	644	0.110495903	0.592635029	dog	0.660866035
UniRef90_A0A142EC40..Beta.lactamase	species2	cat	-0.150221928	0.09532031	2657	129	0.117182922	0.61750305	dog	0.691683611
UniRef90_Q47810..Tetracycline.resistance.protein.TetM.from.transposon.TnFO1	species2	HMP1-II	-3.312237797	1.990255723	2657	1001	0.116903353	0.61750305	dog	0.691683611
UniRef90_P39386..Multidrug.resistance.protein.MdtM	species2	cat	-0.320925542	0.206389554	2657	209	0.121155428	0.632932667	dog	0.710517962
UniRef90_A0A127SUT1..Beta.lactamase	species2	HMP1-II	-1.353524699	0.838477748	2657	200	0.123880412	0.647248972	cat	0.717333256
UniRef90_P52599..Probable.multidrug.resistance.protein.EmrK	species2	cat	-0.401516061	0.260775849	2657	454	0.123895843	0.64171693	dog	0.717333256
UniRef90_A0A218L4M7..Streptothricin.acetyltransferase	species2	HMP1-II	2.523103549	1.588995106	2657	370	0.12953627	0.670931449	cat	0.745243477
UniRef90_P33941..ABC.transporter.ATP.binding.permease.protein.YojI	species2	cat	-0.456794544	0.311612601	2657	650	0.142989367	0.734335225	dog	0.817467514
UniRef90_P76373..UDP.glucose.6.dehydrogenase	species2	cat	-0.336078105	0.237932452	2657	359	0.158197281	0.805609685	dog	0.898758305
UniRef90_P0ACS1..Transcriptional.repressor.MprA	species2	cat	-0.435342027	0.309838684	2657	632	0.160292535	0.809477302	dog	0.905005679
UniRef90_A0A218L4M7..Streptothricin.acetyltransferase	species2	HMP1-II	2.293909051	1.580553349	2657	370	0.164029745	0.821504343	dog	0.920389125
UniRef90_P0ACK0..cAMP.activated.global.transcriptional.regulator.CRP	species2	cat	-0.531061657	0.386146573	2657	698	0.169358157	0.835181243	dog	0.939578898
UniRef90_P52600..Probable.multidrug.resistance.protein.EmrY	species2	cat	-0.374533787	0.272423836	2657	559	0.169516985	0.835181243	dog	0.939578898
UniRef90_P30855..Sensor.protein.EvgS	species2	cat	-0.373413443	0.272960634	2657	530	0.171652556	0.838882652	dog	0.945649535
UniRef90_P24181..Multidrug.export.protein.AcrF	species2	cat	-0.526865648	0.389488418	2657	786	0.176497942	0.855662022	dog	0.966485718
UniRef90_A0A059N1L2..Transporter..major.facilitator.family.protein	species2	HMP1-II	-0.111711725	0.420574252	2657	30	0.794108648	1	cat	0.973119955
UniRef90_A0A059N1L2..Transporter..major.facilitator.family.protein	species2	cat	-0.016198092	0.062039311	2657	30	0.794058578	0.899582833	dog	0.973119955
UniRef90_A0A059N1L2..Transporter..major.facilitator.family.protein	species2	HMP1-II	-0.127909817	0.418422181	2657	30	0.764066822	0.899582833	dog	0.973119955
UniRef90_A0A064BZV5..23S.rRNA..Guanine.745..N.1...methyltransferase	species2	cat	-0.00277375	0.010105489	2657	4	0.783737504	0.899582833	dog	0.973119955
UniRef90_A0A068NXG4..NO_NAME	species2	HMP1-II	-0.345658009	1.435226683	2657	16	0.812156138	1	cat	0.973119955
UniRef90_A0A068NXG4..NO_NAME	species2	HMP1-II	-0.346385517	1.435093231	2657	16	0.811752496	0.899582833	dog	0.973119955
UniRef90_A0A086ZQ37..DNA.directed.RNA.polymerase.subunit.beta	species2	HMP1-II	1.302077	3.036375676	2657	643	0.672922279	1	cat	0.973119955
UniRef90_A0A086ZQ37..DNA.directed.RNA.polymerase.subunit.beta	species2	HMP1-II	-3.51188197	3.030206006	2657	643	0.261090505	0.899582833	dog	0.973119955
UniRef90_A0A0B6EN45..Arabinose.efflux.permease.family.protein	species2	HMP1-II	-0.004150262	0.025345731	2657	6	0.874081108	1	cat	0.973119955
UniRef90_A0A0B6EN45..Arabinose.efflux.permease.family.protein	species2	cat	-0.006853775	0.01083851	2657	6	0.529957116	0.899582833	dog	0.973119955
UniRef90_A0A0B6EN45..Arabinose.efflux.permease.family.protein	species2	HMP1-II	-0.011004038	0.024146847	2657	6	0.662735665	0.899582833	dog	0.973119955
UniRef90_A0A0G3BFV1..Transcriptional.regulator.CmeR	species2	cat	-0.005498462	0.008449531	2657	4	0.519131862	0.899582833	dog	0.973119955
