feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Olsenella_SGB42251_SGB42251	housing	Household	-8.536920668	1.668590121	2055	677	0.00027979	0.004932304
Akkermansia_SGB48227_SGB48227	housing	Household	-5.823997184	1.177086269	2055	432	0.00028867	0.004947489
Bifidobacterium_pseudolongum_SGB17279	housing	Household	-9.906602454	1.966805398	2055	848	0.000338497	0.00564466
Peptostreptococcaceae_SGB65946	housing	Household	-8.3975775	1.701729361	2055	736	0.000409881	0.006655178
Coriobacteriaceae_SGB14745	housing	Household	-4.79720782	0.997106049	2055	943	0.000433059	0.006708067
Atopobiaceae_SGB65944	housing	Household	-8.2672801	1.706093891	2055	692	0.000434883	0.006708067
Turicibacter_sp_TS3_SGB39153	housing	Household	-8.471372606	1.835269875	2055	925	0.000490814	0.007386148
Lactobacillus_johnsonii_SGB7041	housing	Household	-6.632339039	1.373429437	2055	499	0.000564698	0.008295684
Turicibacter_bilis_SGB6847	housing	Household	-5.897008336	1.231510008	2055	736	0.000611617	0.008482497
Collinsella_stercoris_SGB14740	housing	Household	1.297757924	0.283726013	2055	185	0.000608303	0.008482497
Streptococcus_orisratti_SGB29803	housing	Household	0.112247306	0.032738438	2055	24	0.000618659	0.008482497
Oscillospiraceae_SGB14842	housing	Household	0.096815489	0.028637798	2055	22	0.000736584	0.009879828
Eggerthellaceae_SGB14778	housing	Household	-3.372187706	0.735083394	2055	715	0.000835309	0.010307717
Firmicutes_SGB105989	housing	Household	-4.256375199	0.928882016	2055	553	0.000825306	0.010307717
Clostridium_SGB65129_SGB65129	housing	Household	0.438162972	0.093791196	2055	87	0.000800561	0.010307717
Slackia_faecicanis_SGB33547	housing	Household	-4.999882064	1.034136195	2055	589	0.000806433	0.010307717
Parasutterella_SGB9260_SGB9260	housing	Household	-5.469416127	1.280768585	2055	505	0.000934806	0.011309325
Romboutsia_timonensis_SGB6148	housing	Household	-5.646398642	1.333865291	2055	687	0.001071848	0.011666649
Enterobacteriaceae_SGB1890	housing	Household	1.115987338	0.265591643	2055	132	0.001047242	0.011666649
Lachnospiraceae_SGB4574	housing	Household	-4.855810716	1.14749282	2055	675	0.001081558	0.011666649
Amedibacillus_dolichus_SGB4035	housing	Household	3.808426282	0.880900734	2055	863	0.001096703	0.011666649
Firmicutes_SGB72140	housing	Household	-10.39098911	2.394415597	2055	712	0.001047183	0.011666649
Alistipes_SGB6032_SGB6032	housing	Household	0.094683704	0.028850773	2055	21	0.001048599	0.011666649
Helicobacter_canis_SGB21969	housing	Household	1.765513393	0.409975623	2055	271	0.000999294	0.011666649
Anaerostipes_caccae_SGB4529	housing	Household	0.986074959	0.221588432	2055	167	0.001134569	0.011864904
Firmicutes_SGB106203	housing	Household	-4.30928858	0.991617135	2055	382	0.001275781	0.013119285
Oscillospiraceae_SGB15313	housing	Household	-5.209111626	1.189442299	2055	1641	0.001453222	0.014414537
Coriobacteriaceae_SGB14747	housing	Household	0.081156452	0.025521637	2055	16	0.001495187	0.014414537
Pseudoflavonifractor_capillosus_SGB15140	housing	Household	0.068507576	0.021531693	2055	20	0.001485967	0.014414537
Lactobacillaceae_SGB44483	housing	Household	-5.82693469	1.434006797	2055	627	0.001458463	0.014414537
Firmicutes_SGB47635	housing	Household	0.837204775	0.215381946	2055	167	0.001748782	0.016599974
Firmicutes_SGB47662	housing	Household	1.272024538	0.317101304	2055	230	0.001809859	0.016919443
Adlercreutzia_equolifaciens_SGB14797	housing	Household	-4.611371146	1.167780612	2055	560	0.00187356	0.017253533
Lachnospiraceae_SGB4550	housing	Household	3.424450518	0.871468205	2055	808	0.002029778	0.018417249
Collinsella_tanakaei_SGB14737	housing	Household	-3.088379319	0.787555724	2055	617	0.002094463	0.018461198
Faecalibaculum_rodentium_SGB4047	housing	Household	-8.013307519	2.05889001	2055	657	0.002083904	0.018461198
Streptococcus_alactolyticus_SGB8017	housing	Household	-5.065966259	1.276743629	2055	452	0.002186688	0.019002623
Collinsella_sp_AF08_23_SGB14739	housing	Household	0.668466068	0.176849187	2055	131	0.002258391	0.019353155
Firmicutes_SGB63246	housing	Household	-4.71766284	1.208470532	2055	561	0.002297537	0.019418905
Clostridium_SGB6177_SGB6177	housing	Household	-4.718749104	1.025231242	2055	447	0.00237516	0.019591689
Succinivibrionaceae_SGB1482	housing	Household	-3.876317141	1.015537079	2055	677	0.002381486	0.019591689
Clostridium_neonatale_SGB6169	housing	Household	0.68252384	0.095178428	2055	114	0.002553536	0.020730684
Blautia_argi_SGB4797	housing	Household	3.718077269	0.978471705	2055	623	0.00270264	0.021656222
Enterocloster_bolteae_SGB4758	housing	Household	0.093620973	0.031344885	2055	22	0.002852496	0.022563975
Erysipelatoclostridium_ramosum_SGB6744	housing	Household	2.550636576	0.677830289	2055	374	0.003036835	0.023692068
Bifidobacterium_adolescentis_SGB17244_group	housing	Household	0.119376494	0.040275832	2055	17	0.003071905	0.023692068
Holdemanella_porci_SGB6796	housing	Household	-5.196929964	1.403793767	2055	1214	0.003218148	0.024283823
Bifidobacterium_animalis_SGB100575	housing	Household	-2.076079898	0.569418557	2055	291	0.003306063	0.024283823
Amedibacterium_intestinale_SGB4042	housing	Household	3.026006159	0.818326102	2055	709	0.003267767	0.024283823
Firmicutes_SGB65947	housing	Household	-7.576825278	2.09067112	2055	654	0.003303764	0.024283823
Clostridium_paraputrificum_SGB6187	housing	Household	0.892347968	0.231389327	2055	125	0.003723185	0.026104605
Clostridium_butyricum_SGB4037	housing	Household	0.621930172	0.156191264	2055	110	0.003708872	0.026104605
Streptococcus_SGB14888_SGB14888	housing	Household	0.052090239	0.017933269	2055	12	0.003715707	0.026104605
Actinobacteria_SGB63087	housing	Household	-5.404093628	1.522623682	2055	551	0.003632863	0.026104605
Pseudoflavonifractor_gallinarum_SGB29328	housing	Household	0.677328762	0.166657837	2055	154	0.003816402	0.026457532
Dubosiella_newyorkensis_SGB6789	housing	Household	-6.641830269	1.886665013	2055	603	0.004057001	0.027507357
Bifidobacterium_canis_SGB53847	housing	Household	-5.456575263	1.558449205	2055	658	0.004024918	0.027507357
Proteus_mirabilis_SGB9992	housing	Household	0.641838123	0.106387541	2055	84	0.004268026	0.028623608
Slackia_piriformis_SGB14779	housing	Household	0.494518913	0.144878818	2055	141	0.004353448	0.028800652
Fusobacterium_sp_SGB6030	housing	Household	-3.863113267	1.015136685	2055	374	0.004387782	0.028800652
Coriobacteriaceae_bacterium_SGB33579	housing	Household	-4.725904199	1.38596097	2055	508	0.004642283	0.030150409
Ligilactobacillus_animalis_SGB7076	housing	Household	-3.77800921	1.125617578	2055	497	0.00556164	0.03538634
Muribaculum_gordoncarteri_SGB2087	housing	Household	-2.993913849	0.824712877	2055	276	0.005563168	0.03538634
Collinsella_phocaeensis_SGB109036	housing	Household	0.299316509	0.07470582	2055	73	0.005731328	0.03608397
Enterococcaceae_SGB4865	housing	Household	0.059991613	0.021921332	2055	12	0.006259788	0.038240488
Lachnospiraceae_SGB4784	housing	Household	-3.375608779	0.981811528	2055	300	0.006248678	0.038240488
Ruminococcus_SGB66221_SGB66221	housing	Household	-5.285876928	1.610219247	2055	509	0.006194154	0.038240488
Clostridiales_bacterium_SGB15159	housing	Household	0.426324423	0.13315431	2055	107	0.006891451	0.041686522
Clostridiales_bacterium_KLE1615_SGB5090	housing	Household	-1.592244033	0.496819073	2055	154	0.007201163	0.042722287
Firmicutes_SGB4859	housing	Household	-4.447602941	1.324308797	2055	1700	0.007151868	0.042722287
Firmicutes_SGB66051	housing	Household	1.928902389	0.607672788	2055	522	0.007323046	0.043031613
Collinsella_intestinalis_SGB14741	housing	Household	-3.286367884	0.945006291	2055	1774	0.007595771	0.043799916
Lachnospiraceae_SGB106011	housing	Household	-1.764806929	0.527878644	2055	347	0.007585444	0.043799916
Coriobacteriaceae_SGB63083	housing	Household	0.05144372	0.019292526	2055	10	0.007724476	0.044129646
Clostridium_spiroforme_SGB6747	housing	Household	0.170296195	0.055156807	2055	17	0.008071084	0.045686776
Streptococcus_thermophilus_SGB8002	housing	Household	0.50537285	0.119628555	2055	83	0.008307651	0.046178567
Firmicutes_SGB105325	housing	Household	-6.088323728	1.949737617	2055	516	0.008239732	0.046178567
Enterococcus_cecorum_SGB7961	housing	Household	-3.29201725	1.054371921	2055	286	0.00901993	0.049690149
Bifidobacterium_pullorum_SGB17264	housing	Household	-4.122945388	1.336668794	2055	840	0.009152629	0.049974972
Evtepia_gabavorous_SGB15120	housing	Household	0.038905563	0.015024721	2055	10	0.009681249	0.052397638
Blautia_hansenii_SGB4798	housing	Household	1.090405587	0.342853147	2055	121	0.010301463	0.055269588
Bacteroides_thetaiotaomicron_SGB1861	housing	Household	0.581358293	0.167129397	2055	71	0.010858489	0.057755931
Clostridiaceae_bacterium_SGB4721	housing	Household	-2.685739232	0.892694924	2055	912	0.011186463	0.05849193
Bifidobacterium_criceti_SGB17283	housing	Household	-5.827416241	1.970605362	2055	575	0.011185965	0.05849193
Clostridium_massiliamazoniense_SGB29082	housing	Household	0.860872141	0.267676492	2055	150	0.011529643	0.059779744
Firmicutes_SGB4744	housing	Household	0.380028623	0.13098411	2055	93	0.012355673	0.063374031
Veillonella_magna_SGB6926	housing	Household	-2.940410553	1.016552557	2055	288	0.012501891	0.063374031
Coriobacteriaceae_SGB105265	housing	Household	-2.106283105	0.71749989	2055	243	0.012531008	0.063374031
Klebsiella_pneumoniae_SGB10115	housing	Household	0.580780443	0.176912198	2055	61	0.013292338	0.066677826
Firmicutes_unclassified_SGB4994	housing	Household	-3.079847002	1.02629077	2055	1377	0.013528718	0.066777752
Clostridiaceae_SGB106462	housing	Household	0.722778883	0.227703103	2055	95	0.013430974	0.066777752
Actinobacteria_SGB105119	housing	Household	-4.536806929	1.603467902	2055	560	0.014346296	0.070251309
Bacteroides_faecis_SGB1860	housing	Household	0.054251932	0.022234082	2055	10	0.014769933	0.071756287
Ligilactobacillus_ruminis_SGB7061	housing	Household	-1.655962158	0.586873585	2055	222	0.015622747	0.073024508
Faecalicoccus_pleomorphus_SGB6792	housing	Household	0.034672656	0.01428682	2055	10	0.015314088	0.073024508
Firmicutes_SGB65948	housing	Household	-3.822304407	1.372657778	2055	481	0.015217451	0.073024508
Prevotellaceae_SGB65708	housing	Household	-5.134077504	1.826685276	2055	613	0.01556975	0.073024508
Acidaminococcaceae_SGB5750	housing	Household	-4.940960868	1.748000291	2055	592	0.015445435	0.073024508
Faecalibacterium_SGB7083_SGB7083	housing	Household	-0.744229155	0.271921398	2055	75	0.018842916	0.087414131
Erysipelotrichaceae_SGB66599	housing	Household	-2.944391211	1.111278199	2055	300	0.019811431	0.091221288
Eubacteriales_unclassified_SGB4861_SGB4861	housing	Household	0.200755735	0.051365167	2055	35	0.0204315	0.093379523
Eubacteriaceae_SGB106206	housing	Household	0.027874166	0.012028517	2055	8	0.020583124	0.093380789
Bacteroides_stercoris_SGB1830	housing	Household	4.537564234	1.728969277	2055	692	0.023249288	0.104706646
Firmicutes_SGB106318	housing	Household	0.040500956	0.017908382	2055	8	0.023828551	0.106537799
Clostridioides_difficile_SGB6136	housing	Household	0.240691359	0.073597858	2055	34	0.02439741	0.107054473
Enterococcaceae_SGB14911	housing	Household	0.267821533	0.058445702	2055	53	0.024426278	0.107054473
Streptococcus_canis_SGB8217	housing	Household	0.173496332	0.043907604	2055	39	0.024464636	0.107054473
Anaerobiospirillum_succiniciproducens_SGB3685	housing	Household	-3.26356866	1.275857441	2055	517	0.024757933	0.107574962
Bacteroides_ovatus_SGB1871	housing	Household	0.526668179	0.202413122	2055	78	0.025334476	0.109310289
Clostridiaceae_bacterium_SGB6153	housing	Household	-2.652003007	1.018479749	2055	654	0.027406606	0.117429695
Actinomyces_SGB65924_SGB65924	housing	Household	-2.902493443	1.146418774	2055	363	0.027887577	0.118666448
Succinivibrionaceae_SGB58358	housing	Household	0.206205314	0.066039607	2055	35	0.028776475	0.121610173
Oscillospiraceae_SGB15073	housing	Household	0.027356977	0.01260377	2055	8	0.030080292	0.123730269
Phocaeicola_plebeius_SGB1903	housing	Household	0.624701814	0.255732115	2055	88	0.029711084	0.123730269
Streptococcus_SGB5805_SGB5805	housing	Household	0.253246749	0.101836889	2055	66	0.029898716	0.123730269
Porphyromonas_cangingivalis_SGB2060	housing	Household	0.438128175	0.180514988	2055	136	0.029894596	0.123730269
Lactobacillaceae_SGB4995	housing	Household	0.586675956	0.2186761	2055	103	0.032201395	0.130874935
Sutterella_megalosphaeroides_SGB9294	housing	Household	0.247048139	0.067082471	2055	25	0.032241475	0.130874935
Phocaeicola_vulgatus_SGB1814	housing	Household	3.772466181	1.567009	2055	1133	0.03275597	0.132094335
Peptostreptococcus_russellii_SGB743	housing	Household	-4.278779755	1.761851276	2055	241	0.035163685	0.140883076
Bacteroidaceae_SGB6025	housing	Household	1.825737787	0.751695101	2055	227	0.035483681	0.141247942
Helicobacteraceae_SGB14988	housing	Household	-2.176397763	0.929261936	2055	496	0.036151379	0.14298334
Turicibacteraceae_SGB106351	housing	Household	1.066226954	0.441044171	2055	184	0.036978745	0.145324112
Kalamiella_SGB65712_SGB65712	housing	Household	-3.777799262	1.634289211	2055	344	0.037495929	0.146423976
Synergistaceae_SGB14270	housing	Household	-1.449614191	0.629567285	2055	150	0.038099942	0.146922902
Bacteroidetes_SGB65714	housing	Household	-4.619180114	2.004262354	2055	361	0.038071901	0.146922902
Firmicutes_SGB5060	housing	Household	-2.206476438	0.972471799	2055	488	0.04101573	0.147992431
Selenomonadaceae_SGB6973	housing	Household	-0.726509853	0.315037389	2055	61	0.040826269	0.147992431
Phocaeicola_massiliensis_SGB1812	housing	Household	0.391744878	0.15474756	2055	98	0.03920395	0.147992431
Fusobacterium_mortiferum_SGB6031	housing	Household	1.55868152	0.679622448	2055	406	0.04095233	0.147992431
Firmicutes_SGB42252	housing	Household	-1.533357663	0.649991895	2055	105	0.039513008	0.147992431
Gemmiger_sp_An194_SGB15283	housing	Household	-2.308556042	1.007265787	2055	377	0.040031974	0.147992431
Massilistercora_SGB71784_SGB71784	housing	Household	-2.957063714	1.274513456	2055	205	0.040088423	0.147992431
Alistipes_SGB5086_SGB5086	housing	Household	-2.254700167	0.957878821	2055	549	0.040342183	0.147992431
Gemmiger_SGB105726_SGB105726	housing	Household	0.04262753	0.020618389	2055	7	0.038816625	0.147992431
Enterobacteriaceae_SGB104904	housing	Household	-4.533211023	1.972364375	2055	522	0.040252302	0.147992431
Bifidobacterium_SGB4589_SGB4589	housing	Household	-2.291218105	0.993443827	2055	309	0.03925503	0.147992431
Actinomyces_bowdenii_SGB86824	housing	Household	0.159883132	0.061021993	2055	27	0.041469964	0.148761439
Bacteroidetes_SGB65713	housing	Household	-4.97166396	2.200761086	2055	599	0.042520271	0.151647441
Actinobacteria_SGB14375	housing	Household	0.06838579	0.018698724	2055	24	0.043532013	0.153501331
Lachnospiraceae_SGB106017	housing	Household	0.023137431	0.011455518	2055	6	0.043537655	0.153501331
Limosilactobacillus_mucosae_SGB7088_group	housing	Household	-0.335364011	0.141627164	2055	67	0.045085077	0.154190643
Clostridia_unclassified_SGB14937	housing	Household	0.03234246	0.016108215	2055	7	0.044792801	0.154190643
Gemmiger_SGB1481_SGB1481	housing	Household	-4.335135696	1.929515969	2055	1319	0.044435609	0.154190643
Streptococcus_minor_SGB29817	housing	Household	0.792635107	0.336851482	2055	174	0.04522261	0.154190643
Coriobacteriaceae_SGB105121	housing	Household	0.088221396	0.028247515	2055	21	0.045232587	0.154190643
Porphyromonas_gingivicanis_SGB2063	housing	Household	0.1642295	0.072684851	2055	57	0.044757316	0.154190643
Phocaeicola_faecicola_SGB1887	housing	Household	0.021974921	0.010995887	2055	7	0.045797681	0.15441076
Enterococcus_canintestini_SGB7958	housing	Household	0.317856231	0.142289849	2055	25	0.045645313	0.15441076
Mediterraneibacter_glycyrrhizinilyticus_SGB4606	housing	Household	-2.653432989	1.199471548	2055	1427	0.046346981	0.155413517
Ruminococcus_torques_SGB4563	housing	Household	0.037743222	0.018984611	2055	6	0.046933725	0.156530317
Blautia_SGB74131_SGB74131	housing	Household	-0.795034628	0.36116516	2055	127	0.047422929	0.157311543
Proteobacteria_SGB28474	housing	Household	0.475184448	0.080898631	2055	68	0.047717274	0.157441486
Escherichia_coli_SGB10068	housing	Household	3.965051208	1.812588607	2055	1157	0.048927363	0.160575441
Lachnospiraceae_SGB4587	housing	Household	0.339575997	0.152883307	2055	136	0.049401148	0.160599405
Firmicutes_SGB63306	housing	Household	0.015865108	0.008070523	2055	6	0.049455246	0.160599405
Actinobacteria_SGB14350	housing	Household	0.026407531	0.013526781	2055	6	0.051045397	0.164895341
Lactobacillaceae_SGB1894	housing	Household	0.025359221	0.0130367	2055	6	0.051885125	0.166641313
Eubacteriales_unclassified_SGB105707	housing	Household	-1.430111821	0.656655588	2055	331	0.052126051	0.166641313
Eggerthellaceae_SGB105269	housing	Household	-1.35847259	0.63315166	2055	131	0.053291343	0.168619275
Limosilactobacillus_coleohominis_SGB7101	housing	Household	-0.647041248	0.300668556	2055	106	0.053131336	0.168619275
Firmicutes_SGB66627	housing	Household	-2.003755824	0.938969403	2055	373	0.055022157	0.173207503
Blautia_SGB4793_SGB4793	housing	Household	0.40620353	0.177337461	2055	41	0.057765229	0.180919524
Firmicutes_SGB14985_group	housing	Household	-2.653998643	1.262843357	2055	1401	0.058090476	0.181019312
Proteobacteria_SGB9285	housing	Household	-4.140914511	1.99370342	2055	497	0.058590405	0.181659697
Firmicutes_SGB105301	housing	Household	0.33189417	0.164138494	2055	83	0.062804434	0.193087292
Blautia_sp_Marseille_P3201T_SGB29394	housing	Household	0.397084928	0.193550141	2055	31	0.062902019	0.193087292
Lachnospira_pectinoschiza_SGB5075	housing	Household	-0.758990594	0.371473989	2055	125	0.065406033	0.199779813
Desulfovibrionaceae_SGB27377	housing	Household	-0.328072233	0.161435351	2055	53	0.066462482	0.202006658
Sarcina_ventriculi_SGB6190	housing	Household	0.207491213	0.06794796	2055	45	0.066809731	0.202066686
Peptostreptococcaceae_SGB106454	housing	Household	-2.221074855	1.11930334	2055	550	0.068926726	0.207452635
Collinsella_SGB4668_SGB4668	housing	Household	0.111656376	0.054602822	2055	27	0.070309398	0.210586886
Firmicutes_SGB106319	housing	Household	0.017949538	0.009931764	2055	5	0.070864032	0.211222743
Bacteroidetes_SGB2067	housing	Household	-3.573254526	1.815947406	2055	505	0.071479302	0.212032353
Clostridium_symbiosum_SGB4699	housing	Household	0.032844064	0.018246123	2055	5	0.071998375	0.212550226
Eggerthella_lenta_SGB14809	housing	Household	0.170426234	0.084859876	2055	18	0.07349424	0.215933076
Turicibacter_sanguinis_SGB6846	housing	Household	-1.701909128	0.810649929	2055	213	0.076340809	0.22323355
Clostridiaceae_bacterium_SGB6152	housing	Household	-0.583360779	0.304543291	2055	99	0.077698657	0.225070756
Clostridiales_bacterium_Choco116_SGB15149	housing	Household	0.089496628	0.044631408	2055	24	0.077494418	0.225070756
Phascolarctobacterium_succinatutens_SGB5763_group	housing	Household	0.013044651	0.007458369	2055	5	0.080441306	0.226631441
Enterococcus_avium_SGB7931	housing	Household	0.413998716	0.217449353	2055	24	0.079498309	0.226631441
Anaerococcus_SGB53821_SGB53821	housing	Household	-2.235755293	1.172808872	2055	1138	0.080343887	0.226631441
Sellimonas_intestinalis_SGB4617	housing	Household	0.064274721	0.032734936	2055	6	0.079852175	0.226631441
Firmicutes_SGB105432	housing	Household	-0.732671438	0.377636585	2055	45	0.078837447	0.226631441
Lachnospiraceae_unclassified_SGB65957_SGB65957	housing	Household	-2.28439705	1.165334483	2055	534	0.079845163	0.226631441
Fusicatenibacter_saccharivorans_SGB4874	housing	Household	-1.393139843	0.739890376	2055	194	0.081567932	0.228760973
Streptococcus_pasteurianus_SGB8018	housing	Household	0.599660242	0.316417461	2055	37	0.082808809	0.231190204
Bacteroidetes_SGB2066	housing	Household	-2.481722417	1.334468336	2055	178	0.085104469	0.236529088
Mogibacterium_kristiansenii_SGB3926_group	housing	Household	0.007270136	0.004263284	2055	4	0.08829161	0.244286652
Blautia_wexlerae_SGB4837	housing	Household	-2.729445357	1.494775601	2055	484	0.090474943	0.248296523
Dorea_longicatena_SGB4581	housing	Household	0.050505953	0.02616932	2055	5	0.090735855	0.248296523
Collinsella_SGB47518_SGB47518	housing	Household	0.276721788	0.15094396	2055	133	0.090948159	0.248296523
Klebsiella_variicola_SGB10114	housing	Household	0.144615596	0.067438777	2055	14	0.093338196	0.252586259
Acidaminococcus_timonensis_SGB5741	housing	Household	0.005789994	0.003445279	2055	4	0.09300072	0.252586259
Megasphaera_elsdenii_SGB5862	housing	Household	-1.83386221	1.011827321	2055	308	0.093810728	0.252756415
Firmicutes_SGB4586	housing	Household	0.294081734	0.1631977	2055	117	0.095198008	0.255379004
Firmicutes_SGB72910	housing	Household	0.006126666	0.003677465	2055	4	0.095865463	0.256056236
Firmicutes_SGB4688	housing	Household	-1.492669279	0.829691192	2055	790	0.096422506	0.256433992
Peptacetobacter_hiranonis_SGB6131	housing	Household	-2.823142854	1.560805907	2055	1598	0.096943276	0.256712453
Alistipes_onderdonkii_SGB2303	housing	Household	0.030004422	0.018094814	2055	9	0.097434312	0.25691013
Streptococcus_equinus_SGB8022	housing	Household	0.192527321	0.104426418	2055	16	0.098842512	0.258561478
Bacteroides_caccae_SGB1877	housing	Household	0.331337504	0.182682428	2055	13	0.100026649	0.258561478
Campylobacter_upsaliensis_SGB19439	housing	Household	0.84510599	0.469981395	2055	218	0.099908348	0.258561478
Enterocloster_aldenensis_SGB4762	housing	Household	0.012780735	0.00775499	2055	4	0.099492127	0.258561478
Anaerobiospirillum_thomasii_SGB28689	housing	Household	-1.700664471	0.961946829	2055	247	0.100155905	0.258561478
Bacteroides_SGB63885_SGB63885	housing	Household	-3.331740684	1.882299832	2055	451	0.101742861	0.26047861
Clostridia_unclassified_SGB105437_SGB105437	housing	Household	-1.050517272	0.593914404	2055	87	0.101612547	0.26047861
Lachnospiraceae_SGB47850	housing	Household	-0.988425976	0.566646617	2055	130	0.104410148	0.265107247
Clostridium_SGB29100_SGB29100	housing	Household	0.201432316	0.112779194	2055	26	0.104131229	0.265107247
Tannerellaceae_SGB1930	housing	Household	0.024270211	0.015038287	2055	5	0.106703956	0.268719758
Blautia_hydrogenotrophica_SGB4677	housing	Household	0.015264532	0.009457047	2055	4	0.106661445	0.268719758
Cetobacterium_SGB66735_SGB66735	housing	Household	-1.134701628	0.629835754	2055	95	0.107957857	0.270772348
Collinsella_bouchesdurhonensis_SGB14397	housing	Household	0.02333904	0.014651964	2055	4	0.111337686	0.276997389
Clostridia_bacterium_UC5_1_1D1_SGB14995	housing	Household	0.007825376	0.004911681	2055	4	0.111265368	0.276997389
Veillonella_parvula_SGB6939	housing	Household	0.011325142	0.007177157	2055	4	0.114732855	0.284297878
Succinivibrionaceae_SGB3684	housing	Household	-2.87774415	1.705697202	2055	436	0.115322678	0.28461637
Eubacteriaceae_SGB4680	housing	Household	0.102801161	0.058506804	2055	22	0.116816273	0.287153946
Sutterella_wadsworthensis_SGB9286	housing	Household	3.345013777	1.996855028	2055	1100	0.117384257	0.287405106
Peptostreptococcaceae_bacterium_SGB77433	housing	Household	-2.410297141	1.415560138	2055	180	0.119615141	0.291709651
Flavonifractor_plautii_SGB15132	housing	Household	1.420853837	0.84742008	2055	332	0.120910662	0.292556386
Firmicutes_SGB106571	housing	Household	0.069690829	0.040695841	2055	13	0.120456578	0.292556386
Helicobacter_canis_SGB19391	housing	Household	0.906029984	0.541265936	2055	200	0.122409219	0.295025344
Sutterella_wadsworthensis_SGB9283	housing	Household	0.026117759	0.016959988	2055	4	0.123723408	0.297032463
Bacteroides_pyogenes_SGB1806	housing	Household	0.152905678	0.093312591	2055	61	0.12456163	0.297885759
Aquabacterium_SGB14327_SGB14327	housing	Household	-0.418230819	0.255448273	2055	93	0.125388979	0.298706564
Succinivibrionaceae_SGB3677	housing	Household	-0.143997095	0.085147699	2055	31	0.12833618	0.301830212
