"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","reference","fdr.pval"
"13","UniRef90_A0A089X2N7..VanW","species","human",0.406825946634283,0.031492066344854,2874,25,3.76781149425466e-37,2.89179532184045e-35,"cat",2.66934952785272e-35
"14","UniRef90_A0A1L5KFF7..COQ6.ubiquinone.biosynthesis.monooxygenase","species","human",4.48526872968623,0.111754829172976,2874,171,6.66229456084834e-37,4.54516540040098e-35,"cat",4.38283806467237e-35
"15","UniRef90_A0A0H4JQQ7..Erythromycin.esterase.protein","species","human",0.724618919360292,0.0578726569890793,2874,29,4.64652329215677e-35,2.85296530138425e-33,"cat",2.85296530138426e-33
"16","UniRef90_Q6WRY5..D.alanine..D.alanine.ligase","species","human",0.33227688845702,0.026679634584086,2874,22,1.02765239501242e-34,5.73616882306931e-33,"cat",5.91542409879024e-33
"17","UniRef90_Q93ET9..Aminoglycoside.phosphotransferase","species","dog",4.64667916385605,0.375156933850087,2874,1780,4.49563836550977e-34,2.30026829701916e-32,"cat",2.43557819684382e-32
"18","UniRef90_P10738..rRNA.adenine.N.6.methyltransferase","species","dog",4.50077084828801,0.384538557350978,2874,1199,1.18451167812384e-30,5.59453977206181e-29,"cat",6.06075141973365e-29
"19","UniRef90_A0A1L5KFF7..COQ6.ubiquinone.biosynthesis.monooxygenase","species","human",4.44219328300145,0.094255987636645,2874,171,8.61281733376476e-27,4.06789987917812e-25,"dog",4.1749498759986e-25
"20","UniRef90_Q47810..Tetracycline.resistance.protein.TetM.from.transposon.TnFO1","species","dog",4.41737431614411,0.40739308307011,2874,1175,5.35072737893248e-25,2.34667615047467e-23,"cat",2.46400995799841e-23
"21","UniRef90_Q9KHQ6..MefEn2","species","dog",4.37782492505834,0.422011711958325,2874,2303,1.02872623776e-24,4.21091939989761e-23,"cat",4.51169935703314e-23
"22","UniRef90_A0A1L5KKZ3..Phosphotransferase.enzyme.family","species","dog",-1.03543697652249,0.10064213184159,2874,72,2.7513822948134e-24,1.05584295563464e-22,"cat",1.15182867887416e-22
"23","UniRef90_C9WIW3..Lincosamide.nucleotidyltransferase","species","dog",3.80560648349011,0.377851839247538,2874,1235,3.24559461462174e-23,1.17223240786926e-21,"cat",1.29964897394201e-21
"24","UniRef90_Q93ET8..Aminoglycoside.acetyltransferase","species","dog",3.46242388517702,0.346333848176281,2874,1958,5.47184954717872e-23,1.86650867887096e-21,"cat",2.09982226372983e-21
"25","UniRef90_E7SA67..ABC.transporter..ATP.binding.protein","species","human",0.22929726331467,0.0241340041793719,2874,16,4.22997630005815e-21,1.36695023591353e-19,"dog",1.55832326894142e-19
"26","UniRef90_Q08425..Tetracycline.resistance.protein.TetQ","species","dog",4.48717146500046,0.474316750315807,2874,2010,7.16082808817722e-21,2.3140781295478e-19,"cat",2.53658564200432e-19
"27","UniRef90_Q46305..Tetracycline.efflux.protein","species","dog",3.42752278387351,0.361142351483319,2874,596,3.24410954056769e-20,9.95941628954281e-19,"cat",1.1066018099492e-18
"28","UniRef90_E9FPR1..ABC.transporter..ATP.binding.protein","species","human",0.219333154349845,0.0243288829102689,2874,18,3.49992805576498e-19,9.76798102836226e-18,"dog",1.15122633548555e-17
"29","UniRef90_P06571..rRNA.adenine.N.6.methyltransferase","species","dog",2.14182172526847,0.245589466493321,2874,466,3.0268153151751e-17,8.8498314453215e-16,"cat",9.61274794922851e-16
"30","UniRef90_A0A3E4UGG9..Tetracycline.efflux.ABC.transporter.Tet.46..subunit.A","species","human",0.197605185977893,0.0235064873998498,2874,12,6.56361649695507e-17,1.67919188713767e-15,"dog",2.01503026456521e-15
"31","UniRef90_P06107..Lincosamide.resistance.protein","species","dog",1.78445065300669,0.216079512966204,2874,349,2.82098220024142e-16,7.8731048679465e-15,"cat",8.38104711749144e-15
"32","UniRef90_A0A127SUT1..Beta.lactamase","species","dog",-1.46683321386992,0.178529035900088,2874,210,7.90328427568746e-16,2.10983328055309e-14,"cat",2.2746640055963e-14
"33","UniRef90_E7SA67..ABC.transporter..ATP.binding.protein","species","human",0.234674962544665,0.0294432948228336,2874,16,2.2605321805103e-15,5.78319482847219e-14,"cat",6.30893981287875e-14
"34","UniRef90_P0AC11..Dihydropteroate.synthase.type.2","species","dog",2.40399455798968,0.300984187672464,2874,538,2.81423601061945e-15,6.91176364208138e-14,"cat",7.62326872288386e-14
"35","UniRef90_Q9KHL7..Amino.acid.racemase","species","human",0.110652801519757,0.0142326996603899,2874,7,1.04698609881115e-14,2.29589094525017e-13,"dog",2.7550691343002e-13
"36","UniRef90_E9FPR1..ABC.transporter..ATP.binding.protein","species","human",0.228476709650402,0.0296810453380754,2874,18,1.89167550728757e-14,4.46726446720987e-13,"cat",4.83953650614403e-13
"37","UniRef90_Q8GF07..Response.regulator","species","human",0.150089076987167,0.019917172218732,2874,15,6.47289370639583e-14,1.37046783990588e-12,"dog",1.61122570367312e-12
"38","UniRef90_Q00014..rRNA.adenine.N.6.methyltransferase","species","dog",1.66404976357295,0.227424270965207,2874,284,4.29840176046397e-13,9.77488400342547e-12,"cat",1.0417968477335e-11
"39","UniRef90_P0A4K4..Multi.drug.resistance.efflux.pump.PmrA","species","human",0.101601973318636,0.0140745419351677,2874,6,6.68228609771303e-13,1.32352376257929e-11,"dog",1.57804756307531e-11
"40","UniRef90_A0A3E4UGG9..Tetracycline.efflux.ABC.transporter.Tet.46..subunit.A","species","human",0.202462957770772,0.0286777292992499,2874,12,2.08065185976747e-12,4.56257229249009e-11,"cat",4.7907009071146e-11
"41","UniRef90_A0A1L5KW26..Dihydrofolate.reductase","species","dog",2.10026048716897,0.307792897039657,2874,846,1.26762922416078e-11,2.68387704701627e-10,"cat",2.84752808646848e-10
"42","UniRef90_Q9KHL7..Amino.acid.racemase","species","human",0.111093136176834,0.0173637813730007,2874,7,1.83207509266624e-10,3.74964702299024e-09,"cat",4.01747895320383e-09
"43","UniRef90_P0A4K4..Multi.drug.resistance.efflux.pump.PmrA","species","human",0.101601973319577,0.0171708301951681,2874,6,3.66395837988106e-09,7.25700143628056e-08,"cat",7.8301497073765e-08
"44","UniRef90_Q8GJ54..Nitroimidazole.resistance.protein..Fragment.","species","human",0.0709818141075031,0.0120030070695909,2874,4,3.74078813381722e-09,6.96013307322355e-08,"dog",7.8301497073765e-08
"45","UniRef90_P0A4K7..Tetracycline.resistance.protein","species","dog",1.01440340265466,0.175256503887971,2874,259,7.96221474215876e-09,1.52774995365171e-07,"cat",1.62959995056183e-07
"46","UniRef90_Q7ATJ6..3.apos..kinase","species","dog",1.62703913186581,0.282192350009179,2874,604,9.53923496484771e-09,1.77487583891409e-07,"cat",1.90992073970103e-07
"47","UniRef90_L1PB72..Beta.lactamase","species","dog",1.9168206060619,0.33320188956429,2874,1034,1.13922207661138e-08,2.05730104423349e-07,"cat",2.23239049480656e-07
"48","UniRef90_P10952..Tetracycline.resistance.protein.TetO","species","dog",1.37743830834786,0.24192566279807,2874,2804,1.48533510229994e-08,2.58891819220455e-07,"cat",2.84998672753801e-07
"49","UniRef90_R7MBA0..Small.GTP.binding.protein.domain","species","dog",1.15569919079853,0.203534443912009,2874,468,1.51793249054339e-08,2.58891819220455e-07,"cat",2.85309351793972e-07
"50","UniRef90_P30899..Beta.lactamase","species","dog",2.26971778851908,0.401796187519569,2874,1058,2.02642775166184e-08,3.3627747014064e-07,"cat",3.73267991856111e-07
"51","UniRef90_Q8GF07..Response.regulator","species","human",0.136050540284825,0.0242987930769693,2874,15,2.35881565511294e-08,3.81134950589301e-07,"cat",4.25974356540984e-07
"52","UniRef90_Q9S3T0..Sensor.protein.kinase","species","human",0.0355084414032402,0.0063535728232237,2874,6,2.50188440066007e-08,3.84039255501321e-07,"dog",4.43122217886139e-07
"53","UniRef90_P25910..Metallo.beta.lactamase.type.2","species","human",0.0755592481902453,0.0140951852596052,2874,10,8.95053043697438e-08,1.34039650934202e-06,"dog",1.55536576084027e-06
"54","UniRef90_A0A127SVB4..Streptomycin.adenylyltransferase","species","human",7.17212944434898,0.828254191092791,2874,271,1.33197166561327e-07,2.09700154535012e-06,"cat",2.2717516741293e-06
"55","UniRef90_A0A127SVB4..Streptomycin.adenylyltransferase","species","human",7.02915517238928,0.813728209120406,2874,271,2.15092102439026e-07,3.14444168803719e-06,"dog",3.60181502447896e-06
"56","UniRef90_Q57509..Beta.lactamase","species","human",1.95484897716089,0.186278884438453,2874,148,2.32235445268148e-07,3.56481408486607e-06,"cat",3.81944366235651e-06
"57","UniRef90_P30898..Beta.lactamase","species","human",6.59460910694131,0.782668746168727,2874,478,3.51619608018539e-07,5.02080091449728e-06,"dog",5.68143261377324e-06
"58","UniRef90_P30898..Beta.lactamase","species","human",6.45164128600197,0.796128533770348,2874,478,3.91930089163466e-07,5.86939206698459e-06,"cat",6.22357951930262e-06
"59","UniRef90_Q6XL56..Class.D.beta.lactamase","species","dog",1.43784539387755,0.28565105824921,2874,585,5.14936050984969e-07,7.52787465011359e-06,"cat",8.03823903317214e-06
"60","UniRef90_Q57509..Beta.lactamase","species","human",1.97727936622088,0.171990154219391,2874,148,6.57705847881638e-07,8.97403090220723e-06,"dog",1.00957847649831e-05
"61","UniRef90_Q8GJ54..Nitroimidazole.resistance.protein..Fragment.","species","human",0.0709818141075025,0.0146435739914467,2874,4,1.31809176949128e-06,1.88211243364569e-05,"cat",1.99010249131388e-05
"62","UniRef90_Q9S3T0..Sensor.protein.kinase","species","human",0.0366656980430939,0.00775130875184031,2874,6,2.35068482426184e-06,3.2802738229472e-05,"cat",3.4919043921696e-05
"63","UniRef90_P25910..Metallo.beta.lactamase.type.2","species","human",0.0812285134160248,0.0171960148882268,2874,10,2.4274255499401e-06,3.29901731190481e-05,"cat",3.54866497062672e-05
"64","UniRef90_A8SPZ5..StrA","species","dog",0.909927630195801,0.191681036544249,2874,265,2.47157648774627e-06,3.29901731190481e-05,"cat",3.55675303939737e-05
"65","UniRef90_A0A0F2CTG7..ABC.transporter.ATP.binding.protein.permease","species","human",0.0780894138063072,0.0169440637018496,2874,6,4.22959580279659e-06,5.52547196365342e-05,"dog",5.99301189903948e-05
"66","UniRef90_I3RVP3..Tetracycline.resistance.protein.O.32.O","species","human",2.44696982020858,0.34459799333271,2874,150,6.80515058491956e-06,8.70492178987627e-05,"dog",9.46306128648604e-05
"67","UniRef90_P10337..rRNA.adenine.N.6.methyltransferase","species","human",7.29385825049874,1.1780309222294,2874,350,6.88409452979983e-06,8.99326391765339e-05,"cat",9.46306128648604e-05
"68","UniRef90_I3RVP3..Tetracycline.resistance.protein.O.32.O","species","human",2.37411252838696,0.353119217134239,2874,150,8.24221523177139e-06,0.000105431669839742,"cat",0.000111633532771492
"69","UniRef90_P10337..rRNA.adenine.N.6.methyltransferase","species","human",6.98111576998198,1.16586340749876,2874,350,1.21905057017082e-05,0.000152754500017324,"dog",0.000162716750018453
"70","UniRef90_Q01911..Tetracycline.resistance.protein.from.transposon.Tn4351.Tn4400","species","human",6.74058857400092,1.26850773927109,2874,405,4.18638495264218e-05,0.000524579665494346,"cat",0.000550808648769064
"71","UniRef90_A0A0F2CTG7..ABC.transporter.ATP.binding.protein.permease","species","human",0.0822516520202971,0.0206716241267929,2874,6,7.09285978364829e-05,0.00087100318143201,"cat",0.000920073783202827
"72","UniRef90_Q01911..Tetracycline.resistance.protein.from.transposon.Tn4351.Tn4400","species","human",6.10574667622687,1.25660183963375,2874,405,0.000124593836362723,0.00153001231053424,"dog",0.00159376282347316
"73","UniRef90_Q1MRZ1..Ribosomal.protection.tetracycline.resistance.protein","species","human",0.941713455186754,0.121420345219454,2874,86,0.0001265381775034,0.00152342041151153,"cat",0.00159646111617303
"74","UniRef90_Q1MRZ1..Ribosomal.protection.tetracycline.resistance.protein","species","human",0.949868743579108,0.114475637225899,2874,86,0.000198956847331948,0.00239528439729051,"dog",0.00247620616746924
"75","UniRef90_P06571..rRNA.adenine.N.6.methyltransferase","species","human",5.39372211208063,1.14914711280853,2874,466,0.000240367710763703,0.00283818796940219,"cat",0.00295171548817827
"76","UniRef90_P0AE04..2.apos..apos..aminoglycoside.nucleotidyltransferase","species","dog",0.441168173513043,0.125343830573921,2874,189,0.000452894203723644,0.00524673662427014,"cat",0.00548836265301942
"77","UniRef90_D4JSJ5..Small.GTP.binding.protein.domain","species","human",2.03810769499053,0.383969548435044,2874,161,0.000492870914467526,0.00570986304685021,"dog",0.00589524821070898
"78","UniRef90_D4JSJ5..Small.GTP.binding.protein.domain","species","human",1.97484512039128,0.392756960807878,2874,161,0.000576069470719205,0.00655012324114059,"cat",0.00680205105810754
"79","UniRef90_A0A2J6A2K0..NimIJ.family.nitroimidazole.resistance.protein","species","dog",0.312400482726191,0.0882952371867691,2874,63,0.000696714009920236,0.00777786185620045,"cat",0.0081224506726144
"80","UniRef90_Q9WVY4..Lincosamide.nucleotidyltransferase","species","dog",0.540774429469849,0.162950458289286,2874,148,0.000917641578424806,0.0100612844491577,"cat",0.0105643486716156
"81","UniRef90_F4LXH4..ABC.transporter.related.protein","species","dog",0.404804191716307,0.125457980211526,2874,150,0.00127100561812868,0.0136911833251054,"cat",0.0144518046209446
"82","UniRef90_R7M6A2..NO_NAME","species","dog",0.429891954904381,0.138914683330065,2874,249,0.00199237422656518,0.0210916857777762,"cat",0.0223777641788601
"83","UniRef90_L1PB72..Beta.lactamase","species","human",6.40350021181151,1.90481554583706,2874,1034,0.0033038189649084,0.0343821160076908,"cat",0.0366604489961522
"84","UniRef90_P30899..Beta.lactamase","species","human",7.81206203651842,2.36678836548641,2874,1058,0.00381450649902784,0.0390351165067182,"cat",0.041823339114341
"85","UniRef90_H9CDJ3..Tetracycline.resistance.protein.40","species","dog",0.934506152876759,0.323778361745259,2874,2543,0.00395753122751198,0.0398348225195468,"cat",0.0428810148298651
"86","UniRef90_Q5XBB2..Macrolide.efflux.protein.A","species","dog",0.849376627458796,0.299280976271987,2874,589,0.00505549595798036,0.0500657180354829,"cat",0.0541408346197664
"87","UniRef90_P16898..rRNA.adenine.N.6.methyltransferase","species","dog",0.392810922160123,0.14165344082482,2874,131,0.00574755363674928,0.0560158402057786,"cat",0.0608447919476562
"88","UniRef90_P37636..Multidrug.resistance.protein.MdtE","species","dog",0.988917694815562,0.362342108160826,2874,877,0.0064500029316924,0.061879715625924,"cat",0.0675051443191898
"89","UniRef90_B8QUG9..Tet.32.","species","dog",0.853389794731258,0.317482735480656,2874,2213,0.00728624306474592,0.0688269729500615,"cat",0.0754003355351797
"90","UniRef90_P24180..Multidrug.export.protein.AcrE","species","dog",0.884713583197601,0.343956923276859,2874,891,0.0102355734536764,0.0938006283665274,"cat",0.103593001657538
"91","UniRef90_Q01911..Tetracycline.resistance.protein.from.transposon.Tn4351.Tn4400","species","dog",0.634841897976506,0.246540996224953,2874,405,0.0101959654078395,0.0938006283665274,"cat",0.103593001657538
"92","UniRef90_P22782..Chloramphenicol.acetyltransferase","species","human",1.42842018505483,0.507493997437519,2874,101,0.0112086159881315,0.101207209069305,"cat",0.112207992663795
"93","UniRef90_P06571..rRNA.adenine.N.6.methyltransferase","species","human",3.2519004455885,1.13607408581889,2874,466,0.0115797231297052,0.109383846179061,"dog",0.114676612929661
"94","UniRef90_P22782..Chloramphenicol.acetyltransferase","species","human",1.38252092959405,0.500863938344829,2874,101,0.0129690155657238,0.119952682846983,"dog",0.126897309562275
"95","UniRef90_P32716..Multidrug.resistance.protein.MdtN","species","dog",0.783114810635157,0.315057532865779,2874,792,0.0130892990319393,0.116475791385663,"cat",0.126897309562275
"96","UniRef90_P30847..Signal.transduction.histidine.protein.kinase.BaeS","species","dog",0.795331159279056,0.322752266963839,2874,677,0.0138954140487257,0.121882631798822,"cat",0.133309128529962
"97","UniRef90_A0A2K9JGM9..LnuC","species","human",-5.59366559482645,2.00156602953974,2874,2731,0.0145899231407959,0.124419622339565,"cat",0.137115502170133
"98","UniRef90_A7ZKF6..Multidrug.resistance.protein.MdtG","species","dog",0.861904898661969,0.352168204141026,2874,794,0.0145823674746417,0.124419622339565,"cat",0.137115502170133
"99","UniRef90_A0A2K9JGM9..LnuC","species","human",-5.49612317829788,1.99214503951445,2874,2731,0.0158484056914427,0.139013158493512,"dog",0.147438198402209
"100","UniRef90_P00811..Beta.lactamase","species","dog",0.785761287033708,0.339551848586797,2874,650,0.0208859248763029,0.175670655808904,"cat",0.19235936811075
"101","UniRef90_P32715..Multidrug.resistance.protein.MdtO","species","dog",0.773224773894097,0.338993560630699,2874,769,0.0227770269256157,0.188987763950379,"cat",0.207699423747446
"102","UniRef90_O07480..Erythromycin.resistance.methylase","species","human",0.0676155395214353,0.0287868308830661,2874,12,0.0237046962614483,0.194062446727057,"cat",0.214039463301901
"103","UniRef90_A0A1L5KW26..Dihydrofolate.reductase","species","human",4.94975387715475,2.06892826144863,2874,846,0.0272126255210423,0.219253971046198,"cat",0.243328428202718
"104","UniRef90_A0A0K1TBR6..Ribosomal.RNA.large.subunit.methyltransferase.Cfr","species","dog",0.14005888098966,0.0629590677177011,2874,52,0.0278039062144897,0.219253971046198,"cat",0.244311567737191
"105","UniRef90_P37639..HTH.type.transcriptional.regulator.GadX","species","dog",0.682456271567561,0.309399132526926,2874,569,0.0278531103283443,0.219253971046198,"cat",0.244311567737191
"106","UniRef90_L1PB72..Beta.lactamase","species","human",4.48667960566774,1.89034190703093,2874,1034,0.028729831984519,0.235201557846596,"dog",0.249624294884358
"107","UniRef90_P30899..Beta.lactamase","species","human",5.54234424769931,2.34984775629879,2874,1058,0.0296791166918021,0.239776021694296,"dog",0.255462303487381
"108","UniRef90_A0A174XA02..Beta.lactamase","species","dog",1.18862337956428,0.552221112102859,2874,1608,0.0315291458121498,0.245049310489366,"cat",0.268873549009166
"109","UniRef90_P0ACT3..Probable.acrEF.envCD.operon.repressor","species","dog",0.732165382284348,0.34488933425697,2874,675,0.0339782839400618,0.260783329239974,"cat",0.287100912924742
"110","UniRef90_A0A1L5KFA7..Phosphotransferase.enzyme.family","species","human",0.197461353728109,0.0716824332356006,2874,28,0.0364808549451293,0.283534746029232,"dog",0.305444249131492
"111","UniRef90_Q8G3I2..Isoleucine..tRNA.ligase","species","human",-6.28604496032366,2.82561755347845,2874,320,0.0381424067331045,0.288560614435226,"cat",0.316478888299002
"112","UniRef90_Q08425..Tetracycline.resistance.protein.TetQ","species","human",9.77611985273826,4.39097334714183,2874,2010,0.0385374110483527,0.288560614435226,"cat",0.316901389067257
"113","UniRef90_O07480..Erythromycin.resistance.methylase","species","human",0.0519694957263054,0.0238659340147557,2874,12,0.0406602626722139,0.312067516009242,"dog",0.331399132045212
"114","UniRef90_P0AE07..Multidrug.efflux.pump.subunit.AcrA","species","dog",0.675162802033805,0.330926795249779,2874,761,0.041567611013815,0.307500158584125,"cat",0.335822541611611
"115","UniRef90_P05058..Kanamycin.nucleotidyltransferase","species","dog",-0.112915897603872,0.0553106729831038,2874,35,0.0427647689224808,0.312590096647657,"cat",0.342490018935694
"116","UniRef90_Q84FH1..Tetracycline.resistance.protein","species","dog",-0.464705597572401,0.230309860100696,2874,268,0.0439598146489506,0.31754501405242,"cat",0.349025769755892
"117","UniRef90_A0A1L5KFA7..Phosphotransferase.enzyme.family","species","human",0.190196118002642,0.0773903580489091,2874,28,0.0449290038234353,0.320772190088248,"cat",0.35367190189217
"118","UniRef90_A0A1G1SBI2..Dihydrofolate.reductase","species","dog",0.140217073973463,0.0707233335651557,2874,49,0.0486114635205675,0.34307400691527,"cat",0.379416592393582
"119","UniRef90_Q83KI5..Putative.multidrug.resistance.protein.MdtA","species","dog",0.341989088617719,0.175046632644899,2874,286,0.0512665409667978,0.357700638109248,"cat",0.396777178406897
"120","UniRef90_P23895..Multidrug.transporter.EmrE","species","dog",0.452320108525354,0.232130757591225,2874,257,0.0519949975815727,0.358707061967254,"cat",0.39906160643857
"121","UniRef90_UPI0009A2989B..aminoglycoside.6.adenylyltransferase","species","dog",0.079217241555232,0.0408865013189678,2874,35,0.0572609700183705,0.390647062125328,"cat",0.435845895759663
"122","UniRef90_P27303..Multidrug.export.protein.EmrA","species","dog",0.68350433910705,0.36071414958637,2874,791,0.058340243302408,0.393636366897566,"cat",0.440421017061621
"123","UniRef90_P37637..Multidrug.resistance.protein.MdtF","species","dog",0.640267295307197,0.338887970286571,2874,798,0.0591443387549369,0.39472417386447,"cat",0.442861268238186
"124","UniRef90_M4R2Y6..Hydrolase..alpha.beta.domain.protein","species","dog",0.302099876591852,0.160680438809824,2874,180,0.0607185788684639,0.400873198120826,"cat",0.450982347885929
"125","UniRef90_Q46306..Tetracycline.resistance.protein.TetP","species","human",-6.56262712780725,3.32240669922545,2874,1613,0.0633709887948709,0.427580078242316,"dog",0.466917445440609
"126","UniRef90_P0ABQ7..Dihydrofolate.reductase.type.8","species","dog",0.0674652627189638,0.0364660951766402,2874,19,0.0662183681122472,0.427073153934155,"cat",0.480213519932123
"127","UniRef90_P10738..rRNA.adenine.N.6.methyltransferase","species","human",6.09761237708553,3.1015854743824,2874,1199,0.065770773348188,0.427073153934155,"cat",0.480213519932123
"128","UniRef90_A0A1S7D640..Beta.lactamase..Fragment.","species","dog",0.198478892824009,0.107212877231819,2874,134,0.066773652732376,0.427073153934155,"cat",0.480457298175924
"129","UniRef90_A0A218L4M7..Streptothricin.acetyltransferase","species","human",2.96299864296703,1.55127267087942,2874,403,0.0713321572180646,0.451525201359708,"cat",0.509278424789438
"130","UniRef90_C9WIW3..Lincosamide.nucleotidyltransferase","species","human",-5.06477005626923,2.70376197888998,2874,1235,0.0778924570186724,0.50878690010069,"dog",0.551838099339979
"131","UniRef90_A0A218L4M5..Streptomycin.aminoglycoside.6.adenyltransferase","species","dog",0.406042869751207,0.2322185902425,2874,391,0.0805651539012262,0.504765351993397,"cat",0.565762227848671
"132","UniRef90_Q93ET8..Aminoglycoside.acetyltransferase","species","human",-5.01344398005935,2.71225923373092,2874,1958,0.0810864430792883,0.518615375527948,"dog",0.565762227848671
"133","UniRef90_P30845..Phosphoethanolamine.transferase.EptA","species","dog",0.653733310488735,0.380537114947551,2874,891,0.0860754363790986,0.533841595320874,"cat",0.591608036605596
"134","UniRef90_Q5XBB2..Macrolide.efflux.protein.A","species","human",-1.6513774584177,0.899976528953007,2874,589,0.0860184272436913,0.539288735688519,"dog",0.591608036605596
"135","UniRef90_D1LU77..Beta.lactamase..Fragment.","species","dog",0.040355310204492,0.0232444667297075,2874,12,0.087238908412976,0.535646897655672,"cat",0.595163219617414
"136","UniRef90_A0A218L4M7..Streptothricin.acetyltransferase","species","human",2.73783812727316,1.54070405337789,2874,403,0.0919674296770917,0.558451929098178,"dog",0.619153225739284
"137","UniRef90_P02930..Outer.membrane.protein.TolC","species","dog",0.64627243392834,0.38374521011126,2874,898,0.0924790881839901,0.562199605395742,"cat",0.619153225739284
"138","UniRef90_Q46305..Tetracycline.efflux.protein","species","human",-3.3489218320732,1.86008185045163,2874,596,0.0927721445733129,0.558451929098178,"dog",0.619153225739284
"139","UniRef90_Q47810..Tetracycline.resistance.protein.TetM.from.transposon.TnFO1","species","human",-3.27810392322544,1.86300979650001,2874,1175,0.0978416108826654,0.583249991086957,"dog",0.648288659157805
"140","UniRef90_P0ACH6..Multiple.antibiotic.resistance.protein.MarA","species","dog",0.547402036986527,0.333061166399818,2874,549,0.100571232681096,0.602326135952323,"cat",0.65999565960733
"141","UniRef90_P24177..Probable.aminoglycoside.efflux.pump","species","dog",0.575772597076847,0.350880334865533,2874,878,0.10104168078679,0.602326135952323,"cat",0.65999565960733
"142","UniRef90_A0A2X1JA38..DNA.binding.protein","species","dog",0.413962856810735,0.253604712018129,2874,465,0.102799146145084,0.606910343587322,"cat",0.66208401118617
"143","UniRef90_Q93ET9..Aminoglycoside.phosphotransferase","species","human",-5.37704749333102,3.12853085589518,2874,1780,0.102741949152416,0.589894178937887,"dog",0.66208401118617
"144","UniRef90_B0B4B3..Mosaic.tetracycline.resistance.protein","species","dog",0.30577901288468,0.186835227370628,2874,148,0.103867190426218,0.607375761159029,"cat",0.664317238767686
"145","UniRef90_A0A142EC40..Beta.lactamase","species","dog",0.187684690517082,0.115355669748315,2874,154,0.105738092681217,0.607765431917291,"cat",0.668125697415924
"146","UniRef90_Q4LAM4..NimE.nitroimidazole.reductase..Fragment.","species","human",0.0457967194383339,0.026112507710761,2874,8,0.105913519894381,0.607765431917291,"cat",0.668125697415924
"147","UniRef90_P0AEZ0..Multidrug.transporter.MdfA","species","dog",0.584409933888549,0.365065223519534,2874,752,0.109666381794834,0.62347368909285,"cat",0.687093453286001
"148","UniRef90_P31224..Multidrug.efflux.pump.subunit.AcrB","species","dog",0.545357931127297,0.343075521812558,2874,862,0.112162131878873,0.631812375904843,"cat",0.697981915273257
"149","UniRef90_Q8X7J4..Multidrug.resistance.protein.MdtB","species","dog",0.448616485565848,0.283147526811458,2874,720,0.113351793652555,0.632709102751537,"cat",0.700651019825525
"150","UniRef90_Q9L5C7..Beta.lactamase","species","dog",0.0907006799286436,0.0577837561318133,2874,29,0.117786579990477,0.651540181208585,"cat",0.723209601141529
"151","UniRef90_A0A127SUT1..Beta.lactamase","species","human",-1.50092763933038,0.919205279643753,2874,210,0.119027541309749,0.652525985394515,"cat",0.725989175803171
"152","UniRef90_P52599..Probable.multidrug.resistance.protein.EmrK","species","dog",0.426221817482223,0.277154490636465,2874,520,0.124325426101851,0.675538155987047,"cat",0.753313930525031
