feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
Collinsella_stercoris_SGB_14740,housing,Household,1.711851865,0.235188555,2272,194,5.77E-13,1.78E-11
Firmicutes_SGB_6320,housing,Stray,2.337550313,0.321287019,2272,46,6.75E-13,2.05E-11
Streptococcus_salivarius_SGB_8007,housing,Household,1.112264072,0.143883888,2272,22,1.11E-12,3.30E-11
Clostridium_saudiense_SGB_6178,housing,Household,5.066957163,0.692158502,2272,266,1.24E-12,3.61E-11
Bacteroides_eggerthii_SGB_1829,housing,Stray,2.011396412,0.284243002,2272,20,2.37E-12,6.76E-11
Clostridium_culturomicium_SGB_6231,housing,Household,1.870404733,0.247846919,2272,32,3.53E-12,9.87E-11
Candidatus_Melainabacteria_SGB_8651,housing,Household,0.200126063,0.019806535,2272,3,3.81E-12,1.05E-10
Eubacteriaceae_SGB_4333,housing,Household,0.338298438,0.03896038,2272,5,5.28E-12,1.42E-10
Prevotella_dentalis_SGB_1666,housing,Stray,0.464322909,0.067063533,2272,4,7.38E-12,1.92E-10
Bacteroidota_SGB_2238,housing,Stray,0.07251959,0.006760911,2272,1,7.35E-12,1.92E-10
Bacteroidota_SGB_2071,housing,Stray,0.208682453,0.024915762,2272,3,1.30E-11,3.32E-10
Phascolarctobacterium_succinatutens_SGB_5763,housing,Stray,0.799540206,0.105889198,2272,13,2.53E-11,6.36E-10
Bacteroides_fragilis_SGB_1853,housing,Stray,1.429277996,0.211855894,2272,19,3.69E-11,9.14E-10
Firmicutes_SGB_4303,housing,Household,0.888494356,0.125265558,2272,8,5.39E-11,1.30E-09
Faecalibacterium_prausnitzii_SGB_15318,housing,Stray,0.919784296,0.099041095,2272,9,5.45E-11,1.30E-09
Peptostreptococcaceae_SGB_6141,housing,Household,0.613552956,0.05608388,2272,10,5.98E-11,1.41E-09
Faecalibacterium_prausnitzii_SGB_15342,housing,Household,0.458546234,0.06276105,2272,6,6.31E-11,1.46E-09
Acidaminococcaceae_SGB_5751,housing,Stray,6.997649265,1.055482295,2272,187,6.82E-11,1.55E-09
Agathobaculum_butyriciproducens_SGB_14993,housing,Stray,0.183945867,0.019024675,2272,3,6.88E-11,1.55E-09
Ligilactobacillus_animalis_SGB_7076,housing,Stray,-9.258169353,1.409339028,2272,619,7.30E-11,1.62E-09
Dorea_formicigenerans_SGB_4575,housing,Household,1.802588692,0.265861406,2272,69,7.54E-11,1.65E-09
Oscillospiraceae_SGB_15291,housing,Household,0.25579406,0.032221431,2272,11,8.50E-11,1.83E-09
Bacteroidaceae_SGB_1890,housing,Household,1.618388632,0.247953759,2272,135,9.49E-11,2.01E-09
Ligilactobacillus_animalis_SGB_7076,housing,Household,-6.313222986,0.831402018,2272,619,1.01E-10,2.11E-09
Bacteroides_nordii_SGB_1858,housing,Household,0.494589664,0.053458958,2272,4,1.29E-10,2.62E-09
Oliverpabstia_intestinalis_SGB_4868,housing,Household,0.307157842,0.040757352,2272,12,1.28E-10,2.62E-09
Ellagibacter_isourolithinifaciens_SGB_14816,housing,Household,0.217563464,0.030267633,2272,7,2.54E-10,5.10E-09
Prevotella_copri_SGB_1644,housing,Stray,0.909257026,0.124832458,2272,5,3.13E-10,6.20E-09
Anaerosacchariphilus_sp_NSJ_68_SGB_4772,housing,Stray,0.105077017,0.012276176,2272,2,4.00E-10,7.81E-09
Lachnospiraceae_SGB_4860,housing,Household,1.283832442,0.200385206,2272,32,5.02E-10,9.68E-09
Lactococcus_petauri_SGB_7980,housing,Household,0.876718502,0.140698196,2272,19,6.00E-10,1.14E-08
Alistipes_indistinctus_SGB_2325,housing,Stray,0.917097322,0.145121265,2272,24,6.25E-10,1.17E-08
Clostridium_sp_NSJ_6_SGB_29097,housing,Household,3.523115558,0.530443938,2272,154,7.59E-10,1.41E-08
Parasutterella_excrementihominis_SGB_9262,housing,Household,2.671996137,0.409032565,2272,89,1.35E-09,2.46E-08
Enterobacter_roggenkampii_SGB_10139,housing,Household,0.399543201,0.045848528,2272,5,1.57E-09,2.84E-08
Faecalibacterium_prausnitzii_SGB_15316,housing,Stray,0.840877752,0.128886099,2272,6,2.04E-09,3.64E-08
Anaerobutyricum_soehngenii_SGB_4537,housing,Household,0.561818708,0.084625745,2272,24,3.53E-09,6.23E-08
Anaerobiospirillum_sp_NML120448_SGB_3684,housing,Stray,8.658722327,1.460070347,2272,562,3.70E-09,6.46E-08
Anaeromassilibacillus_senegalensis_SGB_14894,housing,Stray,0.098700397,0.006909227,2272,1,4.14E-09,7.15E-08
Candidatus_Melainabacteria_SGB_8640,housing,Household,0.150651749,0.025567765,2272,3,4.36E-09,7.43E-08
Lachnospiraceae_SGB_4860,housing,Stray,-1.695579715,0.289163867,2272,32,5.79E-09,9.77E-08
Clostridium_paraputrificum_SGB_6187,housing,Household,3.204831992,0.470012648,2272,164,8.52E-09,1.42E-07
Dorea_sp_AF36_15AT_SGB_4552,housing,Household,0.79777018,0.070781176,2272,12,1.00E-08,1.66E-07
Clostridium_innocuum_SGB_4037,housing,Household,0.763425753,0.132656554,2272,113,1.10E-08,1.80E-07
Firmicutes_SGB_4053,housing,Household,0.394798339,0.063436067,2272,4,1.25E-08,2.02E-07
Holdemanella_biformis_SGB_6806,housing,Stray,0.774881162,0.130114375,2272,20,1.56E-08,2.49E-07
Coprobacter_secundus_SGB_1962,housing,Household,0.022305204,0.002045061,2272,3,1.94E-08,3.07E-07
Prevotellaceae_SGB_1668,housing,Stray,0.069692068,0.006727827,2272,1,2.25E-08,3.52E-07
Turicibacter_sp_1E2_SGB_39153,housing,Stray,-7.073495258,1.259375064,2272,1053,2.33E-08,3.60E-07
Clostridium_neonatale_SGB_6169,housing,Household,0.776307065,0.138999966,2272,123,2.91E-08,4.45E-07
Clostridiaceae_SGB_4744,housing,Household,1.057332982,0.189848026,2272,98,3.10E-08,4.70E-07
Alistipes_onderdonkii_SGB_2303,housing,Stray,0.821372712,0.137424454,2272,12,3.20E-08,4.79E-07
Clostridiaceae_bacterium_Marseille_Q4143_SGB_4768,housing,Stray,0.619184929,0.104746034,2272,5,3.24E-08,4.81E-07
Alistipes_finegoldii_SGB_2301,housing,Household,0.375386333,0.056606017,2272,6,3.46E-08,5.09E-07
Streptococcus_thermophilus_SGB_8002,housing,Household,-2.292401594,0.392729541,2272,101,3.58E-08,5.21E-07
Ruminococcus_lactaris_SGB_4557,housing,Household,0.214707622,0.034667084,2272,7,3.64E-08,5.24E-07
Weissella_confusa_SGB_7115,housing,Household,-1.452150871,0.257827149,2272,65,4.01E-08,5.72E-07
Jutongia_hominis_SGB_4651,housing,Stray,0.068204238,0.006729658,2272,1,4.96E-08,7.01E-07
Collinsella_SGB14745_SGB_14745,housing,Household,-3.996514701,0.671299009,2272,1031,5.13E-08,7.18E-07
Enterobacter_roggenkampii_SGB_10139,housing,Stray,0.441617552,0.069697283,2272,5,5.62E-08,7.80E-07
Anaerobiospirillum_thomasii_SGB_28689,housing,Stray,4.815768697,0.888450487,2272,371,6.95E-08,9.56E-07
Butyricimonas_virosa_SGB_1784,housing,Household,0.15494605,0.023543922,2272,6,7.18E-08,9.77E-07
Porphyromonas_cangingivalis_SGB_2060,housing,Stray,3.480558269,0.639166635,2272,149,7.94E-08,1.07E-06
Ruminococcus_bromii_SGB_4290,housing,Stray,0.074533566,0.006763316,2272,1,9.05E-08,1.21E-06
Firmicutes_SGB_6353,housing,Stray,4.662965587,0.868079319,2272,326,9.25E-08,1.23E-06
Blautia_faecicola_SGB_4867,housing,Household,0.641467273,0.068956827,2272,11,1.09E-07,1.43E-06
Collinsella_bouchesdurhonensis_SGB_14397,housing,Household,0.292497948,0.050550302,2272,17,1.28E-07,1.66E-06
Lachnospira_eligens_SGB_5082,housing,Stray,1.672637489,0.318179617,2272,56,1.69E-07,2.17E-06
Bifidobacterium_adolescentis_SGB_17244,housing,Household,1.688131524,0.280969242,2272,34,1.85E-07,2.34E-06
Bifidobacterium_pseudolongum_SGB_17279,housing,Household,-5.386937908,1.016872286,2272,928,1.83E-07,2.34E-06
Faecalibacterium_prausnitzii_SGB_15323,housing,Household,0.177005663,0.030239993,2272,6,2.69E-07,3.39E-06
Prevotella_SGB1675_SGB_1675,housing,Stray,0.063238821,0.006806851,2272,1,3.07E-07,3.83E-06
Bifidobacterium_dentium_SGB_17234,housing,Household,0.124378284,0.017987039,2272,3,3.13E-07,3.88E-06
Firmicutes_SGB_14898,housing,Stray,0.061592238,0.006779228,2272,1,3.35E-07,4.10E-06
Dorea_longicatena_SGB_4582,housing,Household,0.397838716,0.05449132,2272,16,3.45E-07,4.20E-06
Firmicutes_SGB_105301,housing,Household,0.715721368,0.139835982,2272,84,3.53E-07,4.26E-06
Blautia_obeum_SGB_4810,housing,Household,0.24120172,0.041439577,2272,4,3.61E-07,4.32E-06
Bifidobacterium_adolescentis_SGB_17244,housing,Stray,2.309534163,0.450671009,2272,34,3.75E-07,4.46E-06
Clostridium_perfringens_SGB_6191,housing,Household,5.523333703,1.058118004,2272,597,4.24E-07,5.00E-06
Enterococcus_gallinarum_SGB_7951,housing,Stray,-1.721712375,0.339817156,2272,27,4.59E-07,5.36E-06
Mediterraneibacter_faecis_SGB_4563,housing,Stray,1.471828671,0.278615423,2272,27,4.91E-07,5.69E-06
Sarcina_ventriculi_SGB_6190,housing,Household,1.711582424,0.292304709,2272,62,5.39E-07,6.21E-06
Bacteroidaceae_SGB_1883,housing,Stray,0.066054385,0.006767303,2272,1,6.44E-07,7.35E-06
Clostridiaceae_bacterium_Marseille_Q4143_SGB_4768,housing,Household,0.345068774,0.065442254,2272,5,8.07E-07,9.15E-06
Clostridium_fessum_SGB_4705,housing,Stray,0.934068996,0.182717197,2272,11,8.79E-07,9.88E-06
Blautia_sp_OF03_15BH_SGB_4779,housing,Stray,0.070067116,0.006735284,2272,1,1.13E-06,1.26E-05
Amedibacillus_dolichus_SGB_4035,housing,Household,4.732319954,0.778165065,2272,955,1.22E-06,1.35E-05
Clostridiaceae_bacterium_SGB_6153,housing,Stray,-7.773138947,1.593690083,2272,786,1.24E-06,1.36E-05
Phocaeicola_massiliensis_SGB_1812,housing,Household,0.830998391,0.171500204,2272,104,1.41E-06,1.54E-05
Fusobacterium_varium_SGB_6038,housing,Household,1.019266362,0.191667977,2272,31,1.42E-06,1.54E-05
Anaeromassilibacillus_senegalensis_SGB_14894,housing,Household,0.041247542,0.004928758,2272,1,1.69E-06,1.82E-05
Clostridiaceae_SGB_106462,housing,Household,0.551930024,0.114828686,2272,102,1.79E-06,1.91E-05
Romboutsia_hominis_SGB_24890,housing,Household,1.838936725,0.358916516,2272,71,2.48E-06,2.63E-05
Oscillospiraceae_SGB_4425,housing,Stray,0.064340084,0.006733182,2272,1,2.51E-06,2.64E-05
Eubacterium_rectale_SGB_4933,housing,Stray,1.091070568,0.23089803,2272,20,2.55E-06,2.66E-05
Ruminococcus_torques_SGB_4608,housing,Household,0.532904705,0.112809904,2272,91,2.58E-06,2.67E-05
Collinsella_phocaeensis_SGB_109036,housing,Household,0.370114497,0.078675801,2272,76,2.83E-06,2.92E-05
Clostridiaceae_bacterium_SGB_6153,housing,Household,-4.550181365,0.832484237,2272,786,4.00E-06,4.10E-05
Tyzzerella_nexilis_SGB_4588,housing,Household,2.455747831,0.389752169,2272,295,4.35E-06,4.43E-05
Helicobacter_SGB104937_SGB_104937,housing,Stray,3.91794287,0.850778092,2272,248,4.64E-06,4.68E-05
Phocea_massiliensis_SGB_14837,housing,Household,0.544298776,0.119783054,2272,80,6.03E-06,6.05E-05
Coprococcus_sp_OM04_5BH_SGB_5115,housing,Household,0.075794422,0.01622694,2272,2,6.47E-06,6.45E-05
Prevotella_copri_SGB_1653,housing,Stray,0.385209947,0.081592576,2272,4,6.67E-06,6.60E-05
Prevotella_stercorea_SGB_1680,housing,Stray,0.068110554,0.008931502,2272,2,6.86E-06,6.74E-05
Lactobacillus_acidophilus_SGB_7044,housing,Household,-5.300124204,1.153926266,2272,845,7.73E-06,7.55E-05
Fusobacterium_varium_SGB_6038,housing,Stray,1.413630977,0.314367652,2272,31,7.81E-06,7.57E-05
Bacteroidaceae_SGB_65712,housing,Household,-2.703534879,0.599695145,2272,467,8.36E-06,8.06E-05
Firmicutes_SGB_106571,housing,Stray,0.587339972,0.130732515,2272,14,8.56E-06,8.20E-05
Anaerobutyricum_hallii_SGB_4532,housing,Household,0.443745947,0.085049238,2272,15,9.25E-06,8.80E-05
Firmicutes_unclassified_SGB_4995,housing,Household,0.684692888,0.154053018,2272,105,9.56E-06,8.93E-05
Veillonellaceae_SGB_5805,housing,Household,0.425846489,0.095788722,2272,67,9.49E-06,8.93E-05
Firmicutes_SGB_14937,housing,Household,0.14068118,0.027885614,2272,7,9.57E-06,8.93E-05
Streptococcus_alactolyticus_SGB_8017,housing,Household,3.501591456,0.790743639,2272,483,1.06E-05,9.88E-05
Faecalibacterium_prausnitzii_SGB_15333,housing,Household,0.256870615,0.046020236,2272,3,1.19E-05,0.000109249
Firmicutes_SGB_6428,housing,Household,0.096017492,0.019073058,2272,5,1.20E-05,0.000109762
Prevotella_copri_SGB_1653,housing,Household,0.272104272,0.05829884,2272,4,1.26E-05,0.000114391
Bifidobacterium_pseudocatenulatum_SGB_17237,housing,Stray,-3.43423836,0.786466256,2272,99,1.38E-05,0.00012528
Clostridium_tertium_SGB_6183,housing,Household,1.059600897,0.208740697,2272,51,1.42E-05,0.000127654
Clostridium_perfringens_SGB_6191,housing,Stray,6.887110947,1.584147501,2272,597,1.46E-05,0.000130563
Lactobacillus_johnsonii_SGB_7041,housing,Household,-4.32173895,0.888703992,2272,581,1.49E-05,0.000132427
Eubacteriaceae_bacterium_SGB_3958,housing,Household,0.056640498,0.011461108,2272,2,1.54E-05,0.000136142
Leuconostoc_lactis_SGB_7121,housing,Household,0.973845246,0.225264739,2272,38,1.62E-05,0.000141826
Eubacteriaceae_bacterium_SGB_4546,housing,Household,0.062570325,0.011995833,2272,3,1.63E-05,0.00014253
Limosilactobacillus_oris_SGB_7093,housing,Stray,0.737500636,0.170249224,2272,26,1.65E-05,0.000143186
Lachnospiraceae_SGB_5077,housing,Household,1.319378857,0.30250239,2272,35,1.70E-05,0.000146633
Helicobacter_SGB28474_SGB_28474,housing,Household,0.620400247,0.144062349,2272,72,1.78E-05,0.00015286
Dorea_formicigenerans_SGB_4575,housing,Stray,1.692173374,0.393529313,2272,69,1.80E-05,0.000153577
Catenibacterium_mitsuokai_SGB_6778,housing,Household,0.250665493,0.041245113,2272,9,1.87E-05,0.000158194
Lachnospiraceae_SGB_71704,housing,Household,0.098284992,0.020106155,2272,5,1.89E-05,0.000159346
Erysipelatoclostridium_ramosum_SGB_6744,housing,Household,2.676182348,0.476020362,2272,403,1.90E-05,0.000159346
Alistipes_communis_SGB_2290,housing,Stray,0.701136168,0.16271175,2272,16,1.95E-05,0.000162957
Bacteroides_caccae_SGB_1877,housing,Household,0.791783629,0.163644022,2272,23,2.00E-05,0.000166019
Proteus_mirabilis_SGB_9992,housing,Household,0.480029379,0.112701111,2272,89,2.25E-05,0.000185469
Phocaeicola_vulgatus_SGB_1814,housing,Household,4.807807125,1.057574979,2272,1257,2.35E-05,0.000191963
Ligilactobacillus_agilis_SGB_7081,housing,Household,-1.194277826,0.275914149,2272,59,2.35E-05,0.000191963
Streptococcus_gallolyticus_SGB_8018,housing,Household,1.305066649,0.286979348,2272,57,3.10E-05,0.0002512
Lachnospiraceae_bacterium_CLA_AA_H244_SGB_4993,housing,Household,0.088893798,0.020157305,2272,2,3.24E-05,0.000261333
Enterococcus_faecium_SGB_7968,housing,Stray,-2.767022202,0.667400685,2272,146,3.58E-05,0.000286797
Firmicutes_SGB_105432,housing,Household,1.093484816,0.256859498,2272,64,3.97E-05,0.000316883
Slackia_isoflavoniconvertens_SGB_14773,housing,Stray,0.338135959,0.073762322,2272,12,4.21E-05,0.000333739
Phocaeicola_plebeius_SGB_1903,housing,Household,3.295589069,0.65413583,2272,110,4.56E-05,0.000359768
Gemmiger_formicilis_SGB_15300,housing,Stray,0.538814104,0.128631832,2272,13,4.72E-05,0.000370259
Eubacteriaceae_SGB_4335,housing,Household,0.019453765,0.004314499,2272,1,4.79E-05,0.000374261
Clostridium_sp_1001270J_160509_D11_SGB_6139,housing,Household,0.219021546,0.043825594,2272,4,5.20E-05,0.000404058
Prevotellamassilia_timonensis_SGB_1477,housing,Household,0.020541456,0.004251011,2272,1,5.32E-05,0.000411075
Clostridium_SGB29100_SGB_29100,housing,Household,0.944341079,0.196184653,2272,38,5.45E-05,0.000419029
Ellagibacter_isourolithinifaciens_SGB_14816,housing,Stray,0.229873212,0.054170526,2272,7,5.68E-05,0.000434401
Bacteroides_clarus_SGB_1832,housing,Stray,0.112074384,0.025466789,2272,2,6.04E-05,0.000459533
Prevotella_copri_SGB_1626,housing,Household,-5.679752188,1.36477339,2272,1783,6.24E-05,0.000472691
Clostridium_SGB6179_SGB_6179,housing,Household,0.093076789,0.021899432,2272,11,6.31E-05,0.00047521
Limosilactobacillus_ingluviei_SGB_7105,housing,Stray,1.08725399,0.271693389,2272,34,6.57E-05,0.000492379
Phocaeicola_plebeius_SGB_1899,housing,Household,-5.867942075,1.417916111,2272,1230,6.89E-05,0.000511417
Escherichia_marmotae_SGB_10064,housing,Household,1.330222389,0.330131412,2272,81,6.87E-05,0.000511417
Roseburia_faecis_SGB_4925,housing,Household,0.122713007,0.02977029,2272,2,7.08E-05,0.000522791
Bacteroides_stercoris_SGB_1830,housing,Household,4.750516077,1.061877083,2272,791,7.36E-05,0.000537873
Limosilactobacillus_reuteri_SGB_7095,housing,Household,-3.050457869,0.692994821,2272,760,7.34E-05,0.000537873
Prevotellaceae_SGB_1481,housing,Household,-5.042144766,1.214738476,2272,1482,7.96E-05,0.000579189
Firmicutes_SGB_6461,housing,Stray,0.4372513,0.111089871,2272,8,8.58E-05,0.000621405
Lachnospiraceae_SGB_66051,housing,Stray,5.469277,1.401638395,2272,626,0.000102811,0.000740642
Eubacterium_sp_OM08_24_SGB_4289,housing,Household,0.018422457,0.004317602,2272,1,0.000105444,0.000755934
Campylobacter_upsaliensis_SGB_19439,housing,Stray,4.150218617,1.064859736,2272,263,0.000108665,0.00077528
Sutterellaceae_SGB_9285,housing,Household,-2.986330795,0.766128918,2272,633,0.000111402,0.000791006
Bacteroides_fragilis_SGB_1855,housing,Household,1.776408342,0.387482118,2272,154,0.000115353,0.000815162
Coprococcus_catus_SGB_4670,housing,Household,0.197714033,0.050284939,2272,5,0.000138887,0.000976819
Clostridiaceae_bacterium_AF18_31LB_SGB_4767,housing,Household,0.032693279,0.00655587,2272,2,0.000141702,0.000991916
Bifidobacterium_animalis_SGB_17278,housing,Household,-2.745389923,0.713876871,2272,747,0.000154263,0.001074774
Erysipelatoclostridium_SGB66626_SGB_66626,housing,Household,3.183984978,0.835275709,2272,779,0.000157033,0.001088957
Bacteroides_xylanisolvens_SGB_1867,housing,Stray,1.848181122,0.486482805,2272,102,0.000158178,0.001091796
Lachnospira_sp_NSJ_43_SGB_5087,housing,Household,0.017706091,0.004237191,2272,1,0.000166784,0.001145871
Muribaculaceae_SGB_2126,housing,Household,-3.038717762,0.749032906,2272,424,0.000170935,0.001168975
Clostridium_SGB4750_SGB_4750,housing,Household,0.041279836,0.006907587,2272,3,0.000176016,0.001192729
Mediterraneibacter_faecis_SGB_4563,housing,Household,0.252037864,0.065275144,2272,27,0.0001757,0.001192729
Lachnospiraceae_SGB_71664,housing,Stray,2.683603478,0.715373588,2272,198,0.000184702,0.001245896
Fusobacterium_SGB6028_SGB_6028,housing,Stray,5.283797377,1.412659481,2272,1302,0.00019142,0.001285375
Bacteroides_pyogenes_SGB_1806,housing,Household,0.341088879,0.091266067,2272,66,0.000193817,0.001295608
Clostridium_sp_AF12_28_SGB_4715,housing,Household,0.017589386,0.004318866,2272,1,0.000195639,0.00130192
Lachnospiraceae_SGB_4808,housing,Household,0.046544108,0.00998563,2272,3,0.000209382,0.001387157
Prevotellaceae_SGB_1614,housing,Household,0.01731975,0.004242354,2272,1,0.000214173,0.00141259
Clostridium_saudiense_SGB_6178,housing,Stray,3.716569043,1.003625931,2272,266,0.000219045,0.00143833
Firmicutes_unclassified_SGB_14911,housing,Household,0.295915407,0.079908476,2272,54,0.000221979,0.001451176
Firmicutes_SGB_6823,housing,Household,0.075795502,0.017571176,2272,2,0.000238932,0.001555152
Helicobacter_canis_SGB_21969,housing,Household,2.300876956,0.534043854,2272,280,0.000240942,0.00156139
Lachnospiraceae_SGB_47662,housing,Household,1.369095234,0.281860142,2272,232,0.000252613,0.001629901
Bacteroidaceae_SGB_104904,housing,Household,-3.293494666,0.89444025,2272,654,0.000254469,0.001634767
Mycoplasmoidaceae_SGB_106612,housing,Stray,1.14274814,0.312702521,2272,46,0.000266229,0.001702945
Porphyromonas_gingivicanis_SGB_2063,housing,Stray,1.265796322,0.347071802,2272,63,0.000275235,0.001750381
Firmicutes_SGB_105302,housing,Stray,5.502791828,1.507652806,2272,767,0.000276003,0.001750381
Blautia_glucerasea_SGB_4816,housing,Household,0.017011995,0.004332951,2272,1,0.000278148,0.001756476
Blautia_massiliensis_SGB_4826,housing,Stray,0.448661707,0.120271622,2272,14,0.000289069,0.001817703
Pseudoflavonifractor_capillosus_SGB_15140,housing,Stray,1.304793428,0.360904969,2272,34,0.000310808,0.001946154
Alistipes_dispar_SGB_2311,housing,Stray,0.556792578,0.154129768,2272,26,0.000314386,0.001960289
Amedibacterium_intestinale_SGB_4042,housing,Household,2.713084174,0.666810098,2272,760,0.000326136,0.002025046
Holdemanella_porci_SGB_6796,housing,Household,-3.993188261,1.039455277,2272,1397,0.000345955,0.002139157
Bifidobacterium_pullorum_SGB_17264,housing,Household,-2.845139952,0.774156487,2272,895,0.000348195,0.002144071
Parabacteroides_distasonis_SGB_1934,housing,Stray,3.786390646,1.039869935,2272,176,0.000350498,0.002149336
Firmicutes_unclassified_SGB_14909,housing,Household,-3.465079267,0.839995906,2272,820,0.000367561,0.002233898
Firmicutes_unclassified_SGB47659_SGB_47659,housing,Stray,5.598184408,1.568310181,2272,1338,0.000368804,0.002233898
Lachnospiraceae_SGB_4589,housing,Household,2.158062195,0.596789031,2272,328,0.000367858,0.002233898
Firmicutes_unclassified_SGB47660_SGB_47660,housing,Household,4.102220294,1.142975858,2272,1455,0.000371248,0.002239561
